Unless	Premise-B
we	Premise-I
can	Premise-I
start	Premise-I
to	Premise-I
make	Premise-I
climate	Premise-I
change	Premise-I
a	Premise-I
bigger	Premise-I
part	Premise-I
of	Premise-I
conversations	Premise-I
like	Premise-I
these	Premise-I
,	Premise-I
we	Premise-I
will	Premise-I
never	Premise-I
actually	Premise-I
take	Premise-I
the	Premise-I
steps	Premise-I
necessary	Premise-I
to	Premise-I
decrease	Premise-I
carbon	Premise-I
emissions	Premise-I
before	Premise-I
we	Premise-I
commit	Premise-I
ourselves	Premise-I
to	Premise-I
catastrophic	Premise-I
levels	Premise-I
of	Premise-I
warming/ocean	Premise-I
acidification	Premise-I
.	Premise-I
How	O
was	O
that	O
left	O
out	O
here	O
?	O
It's	O
like	O
to	O
a	O
whole	O
bunch	O
of	O
powerful	O
people	O
,	O
climate	O
change	O
is	O
something	O
to	O
be	O
discussed	O
in	O
the	O
context	O
of	O
bad	O
emissions	O
by	O
developing	O
nations	O
,	O
but	O
never	O
with	O
regard	O
to	O
actually	O
changing	O
patterns	O
of	O
domestic	O
production	O
or	O
consumption	O
by	O
the	O
developed	O
nations	O
that	O
did	O
the	O
most	O
to	O
get	O
us	O
where	O
we	O
are	O
.	O
