If	Premise-B
Trump	Premise-I
managed	Premise-I
to	Premise-I
become	Premise-I
President	Premise-I
,	Premise-I
it	Premise-I
will	Premise-I
be	Premise-I
the	Premise-I
fault	Premise-I
of	Premise-I
everyone	Premise-I
who	Premise-I
did	Premise-I
not	Premise-I
speak	Premise-I
out	Premise-I
-	Premise-I
including	Premise-I
supposedly	Premise-I
people	Premise-I
are	Premise-I
supposed	Premise-I
to	Premise-I
remain	Premise-I
neutral	Premise-I
-	Premise-I
like	Premise-I
journalists	Premise-I
,	Premise-I
judges	Premise-I
,	Premise-I
foreign	Premise-I
leaders	Premise-I
,	Premise-I
even	Premise-I
the	Premise-I
Pope	Premise-I
or	Premise-I
the	Premise-I
Dalai	Premise-I
Lama	Premise-I
.	Premise-I
