It's	Premise-B
nice	Premise-I
to	Premise-I
know	Premise-I
that	Premise-I
farmers	Premise-I
following	Premise-I
the	Premise-I
law	Premise-I
would	Premise-I
have	Premise-I
positive	Premise-I
economic	Premise-I
effects	Premise-I
but	Premise-I
more	Premise-I
importantly	Premise-I
,	Premise-I
they	Premise-I
are	Premise-I
breaking	Premise-I
the	Premise-I
law	Premise-I
and	Premise-I
conspiring	Premise-I
to	Premise-I
break	Premise-I
the	Premise-I
law	Premise-I
for	Premise-I
their	Premise-I
benefit	Premise-I
and	Premise-I
the	Premise-I
detriment	Premise-I
of	Premise-I
the	Premise-I
american	Premise-I
worker	Premise-I
.	Premise-I
Let's	O
focus	O
on	O
puting	O
these	O
crooked	O
farmers	O
in	O
jail	O
and	O
on	O
deporting	O
the	O
illegals	O
.	O
Both	O
hurt	O
the	O
american	O
worker	O
.	O
