The	Premise-B
entire	Premise-I
Republican	Premise-I
agenda	Premise-I
regarding	Premise-I
healthcare	Premise-I
is	Premise-I
to	Premise-I
siphon	Premise-I
off	Premise-I
tax	Premise-I
dollars	Premise-I
to	Premise-I
give	Premise-I
to	Premise-I
insurance	Premise-I
companies	Premise-I
and	Premise-I
not	Premise-I
to	Premise-I
provide	Premise-I
any	Premise-I
health	Premise-I
care	Premise-I
.	Premise-I
Same	O
with	O
Social	O
Security	O
,	O
privatize	O
it	O
giving	O
billions	O
to	O
Wall	O
Street	O
to	O
manage	O
to	O
garner	O
fees	O
and	O
lose	O
recipients	O
hard	O
earned	O
money	O
.	O
What	O
a	O
bunch	O
of	O
crooks	O
.	O
Leading	O
the	O
way	O
is	O
the	O
American	O
Enterprise	O
Institute	O
.	O
Super	O
crooks	O
.	O
