I	Premise-B
have	Premise-I
a	Premise-I
son	Premise-I
who	Premise-I
has	Premise-I
participated	Premise-I
in	Premise-I
DIII	Premise-I
cross	Premise-I
country	Premise-I
and	Premise-I
track	Premise-I
and	Premise-I
field	Premise-I
for	Premise-I
the	Premise-I
past	Premise-I
four	Premise-I
years	Premise-I
.	Premise-I
It	Premise-I
has	Premise-I
been	Premise-I
a	Premise-I
wonderful	Premise-I
experience	Premise-I
for	Premise-I
him	Premise-I
;	Premise-I
he	Premise-I
loves	Premise-I
the	Premise-I
competition	Premise-I
and	Premise-I
the	Premise-I
team	Premise-I
spirit	Premise-I
,	Premise-I
but	Premise-I
everyone	Premise-I
understands	Premise-I
that	Premise-I
academics	Premise-I
comes	Premise-I
first	Premise-I
.	Premise-I
