A	Premise-B
national	Premise-I
birth	Premise-I
registry	Premise-I
would	Premise-I
be	Premise-I
unnecessary	Premise-I
if	Premise-I
birthright	Premise-I
citizenship	Premise-I
were	Premise-I
restricted	Premise-I
to	Premise-I
those	Premise-I
in	Premise-I
the	Premise-I
country	Premise-I
legally	Premise-I
.	Premise-I
Under	O
this	O
system	O
,	O
in	O
order	O
to	O
obtain	O
a	O
birth	O
certificate	O
for	O
a	O
state	O
,	O
the	O
mother	O
would	O
be	O
required	O
to	O
provide	O
the	O
equivalent	O
of	O
an	O
I-9	O
form	O
showing	O
her	O
presence	O
in	O
this	O
country	O
legally	O
.	O
