Cannabis	Premise-B
was	Premise-I
used	Premise-I
in	Premise-I
the	Premise-I
middle	Premise-I
east	Premise-I
during	Premise-I
the	Premise-I
time	Premise-I
of	Premise-I
the	Premise-I
Hebrew	Premise-I
prophets	Premise-I
.	Premise-I
A	O
Phoenician	O
shipwreck	O
dating	O
from	O
1400	O
BC	O
was	O
found	O
in	O
the	O
eastern	O
Mediterranean	O
with	O
a	O
cargo	O
of	O
Olive	O
Oil	O
and	O
cannabis	O
Amphoras	O
.	O
The	O
Phoenicians	O
traded	O
with	O
their	O
close	O
neighbors	O
the	O
Hebrews	O
as	O
it	O
says	O
in	O
the	O
bible	O
-	O
King	O
Hiram	O
Of	O
Tyre	O
traded	O
with	O
King	O
Solomon	O
for	O
Cedars	O
for	O
the	O
temple	O
in	O
Jerusalem	O
.	O
If	O
the	O
Phoenicians	O
had	O
it	O
the	O
Hebrews	O
had	O
it	O
.	O
It	O
is	O
not	O
far	O
fetched	O
to	O
assume	O
that	O
some	O
of	O
the	O
prophets	O
may	O
have	O
used	O
cannabis	O
to	O
gain	O
their	O
insights	O
and	O
to	O
help	O
them	O
'	O
connect	O
'	O
with	O
God	O
.	O
Following	O
that	O
logic	O
if	O
you	O
are	O
good	O
Christian	O
You	O
should	O
consume	O
cannabis	O
and	O
thus	O
become	O
closer	O
to	O
God	O
.	O
