The	Premise-B
fact	Premise-I
that	Premise-I
the	Premise-I
newspaper	Premise-I
of	Premise-I
record	Premise-I
can	Premise-I
host	Premise-I
a	Premise-I
debate	Premise-I
on	Premise-I
the	Premise-I
proposed	Premise-I
expansion	Premise-I
of	Premise-I
off-shore	Premise-I
drilling	Premise-I
,	Premise-I
with	Premise-I
all	Premise-I
we	Premise-I
know	Premise-I
about	Premise-I
climate	Premise-I
change	Premise-I
,	Premise-I
with	Premise-I
the	Premise-I
history	Premise-I
of	Premise-I
the	Premise-I
BP	Premise-I
disaster	Premise-I
,	Premise-I
should	Premise-I
be	Premise-I
all	Premise-I
the	Premise-I
proof	Premise-I
anyone	Premise-I
needs	Premise-I
that	Premise-I
we	Premise-I
have	Premise-I
a	Premise-I
sick	Premise-I
,	Premise-I
greed-driven	Premise-I
group	Premise-I
of	Premise-I
people	Premise-I
making	Premise-I
and	Premise-I
reporting	Premise-I
on	Premise-I
our	Premise-I
energy	Premise-I
and	Premise-I
economic	Premise-I
policies	Premise-I
.	Premise-I
Unless	O
the	O
people	O
rise	O
up	O
and	O
challenge	O
this	O
insanity	O
,	O
people	O
like	O
Rob	O
Whittman	O
will	O
see	O
to	O
it	O
that	O
we	O
leave	O
our	O
children	O
with	O
a	O
very	O
bleak	O
future	O
.	O
