I'm	Premise-B
not	Premise-I
sympathetic	Premise-I
to	Premise-I
felons	Premise-I
but	Premise-I
there	Premise-I
are	Premise-I
many	Premise-I
with	Premise-I
essentially	Premise-I
minor	Premise-I
possession	Premise-I
convictions	Premise-I
who	Premise-I
are	Premise-I
felons	Premise-I
for	Premise-I
no	Premise-I
good	Premise-I
reason	Premise-I
.	Premise-I
Any	O
attempt	O
to	O
exclude	O
felons	O
has	O
to	O
take	O
the	O
deeply	O
racist	O
nature	O
of	O
drug	O
enforcement	O
into	O
account	O
.	O
Aside	O
form	O
that	O
sticking	O
point	O
I	O
don't	O
believe	O
that	O
felons	O
should	O
vote	O
.	O
