As	Premise-B
a	Premise-I
high	Premise-I
school	Premise-I
teacher	Premise-I
of	Premise-I
English	Premise-I
for	Premise-I
the	Premise-I
past	Premise-I
thirty	Premise-I
five	Premise-I
years	Premise-I
,	Premise-I
I	Premise-I
believe	Premise-I
we	Premise-I
still	Premise-I
need	Premise-I
to	Premise-I
teach	Premise-I
students	Premise-I
to	Premise-I
have	Premise-I
ideas	Premise-I
that	Premise-I
are	Premise-I
supported	Premise-I
with	Premise-I
factual	Premise-I
information	Premise-I
.	Premise-I
Notice	O
,	O
I	O
said	O
factual	O
information	O
.	O
It	O
is	O
sad	O
in	O
our	O
world	O
today	O
when	O
the	O
supporters	O
of	O
finding	O
real	O
information	O
,	O
librarians	O
,	O
have	O
been	O
systematically	O
cut	O
from	O
school	O
budgets	O
.	O
Many	O
librarians	O
have	O
crossed	O
the	O
bridge	O
to	O
finding	O
legitimate	O
information	O
in	O
the	O
digital	O
world	O
as	O
well	O
as	O
printed	O
materials	O
.	O
Only	O
,	O
now	O
that	O
we	O
need	O
verification	O
of	O
information	O
,	O
do	O
we	O
find	O
a	O
shortage	O
of	O
personnel	O
who	O
can	O
teach	O
that	O
skill	O
.	O
