Ms.	Premise-B
Slaton	Premise-I
Howell	Premise-I
perfectly	Premise-I
articulates	Premise-I
exactly	Premise-I
why	Premise-I
no	Premise-I
religious	Premise-I
excemptions	Premise-I
should	Premise-I
ever	Premise-I
be	Premise-I
allowed	Premise-I
,	Premise-I
especially	Premise-I
those	Premise-I
that	Premise-I
fly	Premise-I
in	Premise-I
the	Premise-I
face	Premise-I
of	Premise-I
child	Premise-I
welfare	Premise-I
and	Premise-I
the	Premise-I
common	Premise-I
good	Premise-I
.	Premise-I
It	O
surprises	O
me	O
that	O
so	O
thin	O
an	O
argument	O
could	O
actually	O
be	O
published	O
in	O
the	O
NYTimes	O
.	O
