It's	Premise-B
actualy	Premise-I
a	Premise-I
global	Premise-I
issue	Premise-I
,	Premise-I
in	Premise-I
the	Premise-I
UK	Premise-I
,	Premise-I
we're	Premise-I
increasingly	Premise-I
heading	Premise-I
down	Premise-I
this	Premise-I
obesity	Premise-I
path	Premise-I
,	Premise-I
despite	Premise-I
similar	Premise-I
popular	Premise-I
trends	Premise-I
for	Premise-I
buying	Premise-I
fresh/loca/organic	Premise-I
,	Premise-I
etc	Premise-I
.	Premise-I
I	O
don't	O
think	O
there's	O
an	O
easy	O
solution	O
,	O
I	O
think	O
it	O
involves	O
policy	O
effort	O
across	O
a	O
number	O
of	O
areas	O
(	O
unfortunately	O
)	O
,	O
including	O
education	O
,	O
food	O
regulation	O
(	O
labelling	O
,	O
salt	O
content	O
,	O
etc	O
)	O
,	O
and	O
possibly	O
that	O
dreaded	O
word	O
:	O
..	O
tax	O
Taxing	O
those	O
food	O
products	O
that	O
,	O
like	O
cigarettes	O
and	O
alcohol	O
,	O
are	O
vices	O
and	O
placing	O
a	O
collective	O
burden	O
on	O
our	O
national	O
healthcare	O
systems	O
.	O
I	O
speak	O
as	O
a	O
smoker	O
,	O
drinker	O
and	O
occasional	O
lover	O
of	O
fast	O
food	O
,	O
just	O
aware	O
that	O
clearly	O
the	O
current	O
situation	O
is	O
taking	O
society	O
as	O
a	O
whole	O
down	O
a	O
very	O
unhealthy	O
path	O
.	O
Also	O
,	O
very	O
dangerous	O
territory	O
,	O
both	O
morally	O
and	O
practically	O
,	O
but	O
perhaps	O
directly	O
factoring	O
in	O
BMI	O
(	O
or	O
something	O
)	O
into	O
the	O
cost	O
of	O
health	O
insurance	O
?	O
