As	Premise-B
a	Premise-I
prescriber	Premise-I
,	Premise-I
one	Premise-I
of	Premise-I
my	Premise-I
most	Premise-I
common	Premise-I
experiences	Premise-I
is	Premise-I
patients	Premise-I
'	Premise-I
declining	Premise-I
to	Premise-I
take	Premise-I
a	Premise-I
prescribed	Premise-I
medication	Premise-I
because	Premise-I
they	Premise-I
look	Premise-I
up	Premise-I
the	Premise-I
side	Premise-I
effects	Premise-I
and	Premise-I
get	Premise-I
scared	Premise-I
.	Premise-I
Most	O
of	O
the	O
time	O
this	O
is	O
unreasonable	O
and	O
reflects	O
prior	O
,	O
dare	O
I	O
say	O
perverse	O
,	O
reluctance	O
to	O
try	O
something	O
that	O
might	O
help	O
.	O
So	O
,	O
to	O
quote	O
Paul	O
Simon	O
,	O
a	O
man	O
(	O
woman	O
)	O
hears	O
what	O
he	O
(	O
she	O
)	O
wants	O
to	O
hear	O
and	O
disregards	O
the	O
rest	O
.	O
So	O
I	O
spend	O
extra	O
time	O
explaining	O
myself	O
,	O
which	O
gets	O
tiresome	O
.	O
