Home	Premise-B
schooling	Premise-I
isn't	Premise-I
only	Premise-I
a	Premise-I
scam	Premise-I
designed	Premise-I
to	Premise-I
de-fund	Premise-I
public	Premise-I
schools	Premise-I
and	Premise-I
punish	Premise-I
the	Premise-I
teachers	Premise-I
'	Premise-I
unions	Premise-I
for	Premise-I
supporting	Premise-I
Democratic	Premise-I
candidates	Premise-I
and	Premise-I
policies	Premise-I
.	Premise-I
It	Premise-I
is	Premise-I
also	Premise-I
a	Premise-I
scam	Premise-I
by	Premise-I
some	Premise-I
extremist	Premise-I
social	Premise-I
conservatives	Premise-I
to	Premise-I
keep	Premise-I
women	Premise-I
out	Premise-I
if	Premise-I
the	Premise-I
paid	Premise-I
labor	Premise-I
force	Premise-I
.	Premise-I
This	O
proposed	O
tax	O
credit	O
should	O
be	O
called	O
what	O
it	O
is	O
--	O
an	O
increase	O
in	O
government	O
spending	O
.	O
Then	O
let	O
the	O
Republicans	O
try	O
to	O
defend	O
it	O
.	O
