How	Premise-B
can	Premise-I
this	Premise-I
be	Premise-I
the	Premise-I
so	Premise-I
called	Premise-I
'	Premise-I
law	Premise-I
of	Premise-I
the	Premise-I
land	Premise-I
'	Premise-I
when	Premise-I
there	Premise-I
are	Premise-I
so	Premise-I
many	Premise-I
waivers	Premise-I
and	Premise-I
exemptions	Premise-I
?	Premise-I
Give	O
me	O
an	O
example	O
of	O
another	O
global	O
law	O
that	O
only	O
applies	O
to	O
certain	O
Americans	O
?	O
As	O
such	O
I	O
think	O
the	O
law	O
is	O
invalid	O
and	O
the	O
real	O
attack	O
should	O
be	O
for	O
injunctive	O
relief	O
to	O
force	O
the	O
administration	O
to	O
rescind	O
the	O
waivers	O
or	O
the	O
law	O
is	O
nullified	O
.	O
