The	Premise-B
whole	Premise-I
media	Premise-I
mess	Premise-I
surrounding	Premise-I
the	Premise-I
royals	Premise-I
is	Premise-I
a	Premise-I
consequence	Premise-I
of	Premise-I
the	Premise-I
promotional	Premise-I
fervor	Premise-I
with	Premise-I
which	Premise-I
royal	Premise-I
households	Premise-I
(	Premise-I
aka	Premise-I
,	Premise-I
public	Premise-I
relations	Premise-I
experts	Premise-I
)	Premise-I
developed	Premise-I
stage-set	Premise-I
performances	Premise-I
for	Premise-I
the	Premise-I
public	Premise-I
to	Premise-I
devour	Premise-I
.	Premise-I
Prior	O
to	O
the	O
Victorian	O
era	O
,	O
those	O
elaborate	O
and	O
lethally	O
expensive	O
weddings	O
,	O
coronations	O
,	O
and	O
funerals	O
-	O
and	O
the	O
fairy	O
tales	O
that	O
went	O
along	O
with	O
them	O
-	O
just	O
didn't	O
exist	O
.	O
