This	Premise-B
article	Premise-I
is	Premise-I
silly	Premise-I
,	Premise-I
online	Premise-I
dating	Premise-I
sites	Premise-I
are	Premise-I
full	Premise-I
of	Premise-I
'	Premise-I
manly	Premise-I
men'-	Premise-I
carpenters	Premise-I
,	Premise-I
construction	Premise-I
workers	Premise-I
,	Premise-I
laborers	Premise-I
,	Premise-I
and	Premise-I
others	Premise-I
.	Premise-I
These	O
men	O
are	O
not	O
exactly	O
faring	O
well	O
in	O
this	O
economy	O
,	O
and	O
at	O
no	O
other	O
time	O
does	O
there	O
seem	O
to	O
be	O
more	O
a	O
disconnect	O
between	O
women	O
and	O
these	O
guys	O
than	O
now	O
,	O
it	O
seems	O
.	O
