"	O
But	O
as	O
a	O
Christian	O
,	O
I	O
don't	O
have	O
the	O
luxury	O
or	O
authority	O
to	O
slice	O
and	O
dice	O
(	O
though	O
some	O
try	O
)	O
and	O
adhere	O
to	O
only	O
those	O
passages	O
of	O
the	O
Bible	O
that	O
are	O
culturally	O
acceptable	O
.	O
From	O
beginning	O
to	O
end	O
,	O
I	O
believe	O
the	O
Bible	O
is	O
the	O
infallible	O
word	O
of	O
God	O
and	O
I	O
accept	O
it	O
in	O
whole	O
,	O
not	O
in	O
part	O
.	O
As	O
such	O
,	O
I	O
believe	O
the	O
Bible	O
is	O
clear	O
that	O
homosexuality	O
is	O
a	O
sin	O
.	O
"	O
What	Premise-B
this	Premise-I
man	Premise-I
doesn't	Premise-I
realize	Premise-I
is	Premise-I
that	Premise-I
he	Premise-I
is	Premise-I
saying	Premise-I
that	Premise-I
it's	Premise-I
a	Premise-I
sin	Premise-I
to	Premise-I
be	Premise-I
born	Premise-I
,	Premise-I
making	Premise-I
it	Premise-I
a	Premise-I
sin	Premise-I
to	Premise-I
live	Premise-I
a	Premise-I
life	Premise-I
no	Premise-I
matter	Premise-I
what	Premise-I
,	Premise-I
which	Premise-I
I	Premise-I
find	Premise-I
to	Premise-I
be	Premise-I
preposterous	Premise-I
.	Premise-I
It	Premise-B
is	Premise-I
simply	Premise-I
an	Premise-I
antiquated	Premise-I
view	Premise-I
that	Premise-I
is	Premise-I
taught	Premise-I
in	Premise-I
varying	Premise-I
degrees	Premise-I
by	Premise-I
various	Premise-I
religions	Premise-I
and	Premise-I
only	Premise-I
serves	Premise-I
to	Premise-I
keep	Premise-I
people	Premise-I
divided	Premise-I
by	Premise-I
ignorance	Premise-I
.	Premise-I
It	Premise-B
teaches	Premise-I
non-acceptance	Premise-I
of	Premise-I
anyone	Premise-I
that	Premise-I
doesn't	Premise-I
share	Premise-I
their	Premise-I
particular	Premise-I
view	Premise-I
and	Premise-I
causes	Premise-I
them	Premise-I
to	Premise-I
try	Premise-I
to	Premise-I
deny	Premise-I
others	Premise-I
to	Premise-I
have	Premise-I
the	Premise-I
same	Premise-I
rights	Premise-I
as	Premise-I
they	Premise-I
do	Premise-I
.	Premise-I
The	Premise-B
bible	Premise-I
can't	Premise-I
be	Premise-I
used	Premise-I
to	Premise-I
try	Premise-I
to	Premise-I
justify	Premise-I
their	Premise-I
actions	Premise-I
nor	Premise-I
the	Premise-I
harm	Premise-I
that	Premise-I
it	Premise-I
has	Premise-I
caused	Premise-I
others	Premise-I
to	Premise-I
have	Premise-I
to	Premise-I
endure	Premise-I
.	Premise-I
