Foreign	Premise-B
agents	Premise-I
may	Premise-I
use	Premise-I
the	Premise-I
comments	Premise-I
section	Premise-I
to	Premise-I
make	Premise-I
it	Premise-I
appear	Premise-I
that	Premise-I
the	Premise-I
American	Premise-I
public	Premise-I
has	Premise-I
opinions	Premise-I
that	Premise-I
are	Premise-I
favorable	Premise-I
to	Premise-I
the	Premise-I
foreign	Premise-I
country	Premise-I
they	Premise-I
represent	Premise-I
.	Premise-I
I	O
believe	O
this	O
was	O
particularly	O
true	O
for	O
comments	O
on	O
articles	O
about	O
Ukraine	O
and	O
the	O
Russian	O
backed	O
separatists	O
.	O
It	O
seemed	O
to	O
me	O
that	O
many	O
commenters	O
and	O
those	O
who	O
recommended	O
their	O
comments	O
were	O
RT	O
writers	O
or	O
Kremlinbots	O
using	O
pseudonyms	O
.	O
