The	Premise-B
student	Premise-I
loan	Premise-I
system	Premise-I
is	Premise-I
a	Premise-I
crime	Premise-I
.	Premise-I
Why	Premise-I
banks	Premise-I
can	Premise-I
default	Premise-I
and	Premise-I
get	Premise-I
bailed	Premise-I
out	Premise-I
,	Premise-I
and	Premise-I
young	Premise-I
people	Premise-I
who	Premise-I
are	Premise-I
conned	Premise-I
into	Premise-I
signing	Premise-I
big	Premise-I
education	Premise-I
loans	Premise-I
are	Premise-I
locked	Premise-I
in	Premise-I
with	Premise-I
no	Premise-I
recourse	Premise-I
,	Premise-I
says	Premise-I
a	Premise-I
lot	Premise-I
about	Premise-I
our	Premise-I
current	Premise-I
society	Premise-I
.	Premise-I
Most	O
universities	O
have	O
very	O
large	O
endowment	O
funds	O
,	O
many	O
of	O
which	O
are	O
used	O
like	O
a	O
predatory	O
financial	O
instrument	O
to	O
make	O
more	O
money	O
in	O
contemporary	O
Wall	O
St.	O
casino	O
capitalism	O
.	O
Add	O
in	O
the	O
$10s	O
,	O
possibly	O
$100s	O
of	O
billions	O
misplaced	O
during	O
the	O
Iraq	O
War	O
,	O
not	O
to	O
mention	O
the	O
expenditure	O
we	O
know	O
about	O
and	O
it's	O
really	O
mind	O
boggling	O
.	O
How	O
did	O
it	O
come	O
to	O
this	O
?	O
We	O
won't	O
find	O
out	O
because	O
every	O
agency	O
capable	O
of	O
looking	O
into	O
it	O
is	O
compromised	O
by	O
money	O
and	O
ideology	O
.	O
