The	Premise-B
manly	Premise-I
men	Premise-I
I	Premise-I
know	Premise-I
don't	Premise-I
eat	Premise-I
bacon	Premise-I
cheeseburgers	Premise-I
or	Premise-I
drive	Premise-I
SUV's	Premise-I
.	Premise-I
But	Premise-I
they	Premise-I
have	Premise-I
plenty	Premise-I
of	Premise-I
strength	Premise-I
,	Premise-I
ambition	Premise-I
,	Premise-I
and	Premise-I
,	Premise-I
yes	Premise-I
,	Premise-I
even	Premise-I
love	Premise-I
and	Premise-I
compassion	Premise-I
.	Premise-I
I'm	O
not	O
ready	O
to	O
give	O
up	O
on	O
the	O
male	O
species	O
yet	O
.	O
But	O
I	O
could	O
do	O
without	O
all	O
the	O
smartphone	O
addictions	O
.	O
