What	Premise-B
is	Premise-I
most	Premise-I
galling	Premise-I
about	Premise-I
the	Premise-I
advocates	Premise-I
and	Premise-I
activists	Premise-I
who	Premise-I
insist	Premise-I
on	Premise-I
the	Premise-I
right	Premise-I
of	Premise-I
the	Premise-I
most	Premise-I
disruptive	Premise-I
kids	Premise-I
to	Premise-I
endanger	Premise-I
their	Premise-I
peers	Premise-I
and	Premise-I
compromise	Premise-I
their	Premise-I
education	Premise-I
is	Premise-I
the	Premise-I
fact	Premise-I
that	Premise-I
they	Premise-I
would	Premise-I
never	Premise-I
tolerate	Premise-I
such	Premise-I
behavior	Premise-I
at	Premise-I
the	Premise-I
economically	Premise-I
stratified	Premise-I
schools	Premise-I
where	Premise-I
they	Premise-I
send	Premise-I
their	Premise-I
own	Premise-I
children	Premise-I
.	Premise-I
When	O
was	O
the	O
last	O
time	O
a	O
first-grader	O
at	O
a	O
high-end	O
Manhattan	O
,	O
Westchester	O
,	O
or	O
Nassau	O
private	O
or	O
public	O
school	O
picked	O
up	O
a	O
chair	O
over	O
their	O
head	O
and	O
threw	O
it	O
at	O
a	O
classmate	O
,	O
or	O
told	O
the	O
teacher	O
,	O
using	O
several	O
of	O
George	O
Carlin's	O
seven	O
words	O
,	O
to	O
perform	O
an	O
anatomically	O
impossible	O
act	O
?	O
