In	Premise-B
my	Premise-I
experience	Premise-I
,	Premise-I
bloggers	Premise-I
are	Premise-I
much	Premise-I
kinder	Premise-I
to	Premise-I
productions	Premise-I
than	Premise-I
professional	Premise-I
critics	Premise-I
because	Premise-I
they	Premise-I
want	Premise-I
their	Premise-I
reviews	Premise-I
to	Premise-I
be	Premise-I
publicized	Premise-I
and	Premise-I
linked	Premise-I
to	Premise-I
by	Premise-I
theaters	Premise-I
(	Premise-I
and	Premise-I
they	Premise-I
want	Premise-I
to	Premise-I
continue	Premise-I
to	Premise-I
get	Premise-I
free	Premise-I
tickets	Premise-I
)	Premise-I
.	Premise-I
It's	O
understandable	O
,	O
but	O
it	O
isn't	O
much	O
much	O
of	O
a	O
service	O
for	O
theatergoers	O
.	O
