What	Premise-B
isn't	Premise-I
discussed	Premise-I
in	Premise-I
any	Premise-I
of	Premise-I
these	Premise-I
articles	Premise-I
is	Premise-I
the	Premise-I
fact	Premise-I
that	Premise-I
governments	Premise-I
extend	Premise-I
contracts	Premise-I
not	Premise-I
just	Premise-I
for	Premise-I
financial	Premise-I
reasons	Premise-I
or	Premise-I
cost	Premise-I
controls	Premise-I
but	Premise-I
also	Premise-I
to	Premise-I
allow	Premise-I
certain	Premise-I
'	Premise-I
disadvantaged	Premise-I
'	Premise-I
businesses	Premise-I
such	Premise-I
as	Premise-I
small	Premise-I
business	Premise-I
,	Premise-I
minority	Premise-I
owned	Premise-I
business	Premise-I
and	Premise-I
women	Premise-I
owned	Premise-I
business	Premise-I
to	Premise-I
gain	Premise-I
contracts	Premise-I
that	Premise-I
they	Premise-I
wouldn't	Premise-I
have	Premise-I
otherwise	Premise-I
won	Premise-I
.	Premise-I
Whether	O
this	O
is	O
deemed	O
'	O
economic	O
development	O
'	O
or	O
interfering	O
in	O
market	O
competition	O
is	O
a	O
matter	O
of	O
opinion	O
-	O
I'm	O
curious	O
as	O
to	O
how	O
these	O
experts	O
would	O
evaluate	O
that	O
part	O
of	O
the	O
equation	O
.	O
