Turner's	Premise-B
argument	Premise-I
that	Premise-I
Obamacare	Premise-I
is	Premise-I
inherently	Premise-I
flawed	Premise-I
and	Premise-I
cannot	Premise-I
be	Premise-I
made	Premise-I
to	Premise-I
work	Premise-I
overlooks	Premise-I
some	Premise-I
important	Premise-I
counterexamples	Premise-I
,	Premise-I
including	Premise-I
the	Premise-I
success	Premise-I
of	Premise-I
the	Premise-I
Swiss	Premise-I
(	Premise-I
and	Premise-I
to	Premise-I
a	Premise-I
lesser	Premise-I
extent	Premise-I
the	Premise-I
Dutch	Premise-I
)	Premise-I
healthcare	Premise-I
system	Premise-I
.	Premise-I
Furthermore	O
,	O
the	O
same	O
basic	O
premise	O
(	O
guaranteed	O
coverage	O
across	O
a	O
large	O
risk	O
pool	O
without	O
adverse	O
selection	O
)	O
is	O
working	O
well	O
even	O
in	O
America	O
,	O
in	O
large	O
employer-subsidized	O
group	O
plans	O
.	O
A	O
responsible	O
market-oriented	O
conservative	O
would	O
be	O
asking	O
why	O
Obamacare	O
isn't	O
working	O
as	O
well	O
as	O
those	O
plans	O
,	O
not	O
seeking	O
to	O
bury	O
it	O
without	O
any	O
serious	O
analysis	O
.	O
