One	Premise-B
of	Premise-I
the	Premise-I
sad	Premise-I
consequences	Premise-I
of	Premise-I
this	Premise-I
admission	Premise-I
problem	Premise-I
is	Premise-I
that	Premise-I
students	Premise-I
attending	Premise-I
out-of	Premise-I
State	Premise-I
Universities	Premise-I
are	Premise-I
more	Premise-I
likely	Premise-I
to	Premise-I
find	Premise-I
internships	Premise-I
out	Premise-I
of	Premise-I
State	Premise-I
and	Premise-I
eventually	Premise-I
jobs	Premise-I
out	Premise-I
of	Premise-I
State	Premise-I
.	Premise-I
While	O
this	O
is	O
not	O
life	O
threatening	O
,	O
nor	O
completely	O
negative	O
,	O
it	O
does	O
have	O
a	O
personal	O
impact	O
(	O
somewhat	O
like	O
emigration	O
)	O
