One	Premise-B
way	Premise-I
Americans	Premise-I
can	Premise-I
change	Premise-I
their	Premise-I
diets	Premise-I
is	Premise-I
to	Premise-I
do	Premise-I
it	Premise-I
ONE	Premise-I
small	Premise-I
step	Premise-I
at	Premise-I
a	Premise-I
time	Premise-I
.	Premise-I
For	O
example	O
,	O
I	O
decided	O
to	O
drink	O
green	O
tea	O
in	O
the	O
morning	O
,	O
instead	O
of	O
a	O
coffee	O
latte	O
.	O
Later	O
,	O
I	O
decided	O
to	O
substitute	O
iced	O
water	O
for	O
soft	O
drinks	O
.	O
Another	O
change	O
was	O
whole	O
wheat	O
thin	O
buns	O
for	O
sandwiches	O
,	O
instead	O
of	O
regular	O
bread	O
.	O
Instead	O
of	O
yogurt	O
with	O
lots	O
of	O
calories	O
and	O
sugar	O
,	O
I	O
now	O
eat	O
plain	O
,	O
non-fat	O
Greek	O
yogurt	O
mixed	O
with	O
fresh	O
fruits	O
like	O
blueberries	O
or	O
bananas	O
.	O
Each	O
change	O
was	O
painless	O
and	O
over	O
the	O
years	O
the	O
weight	O
melted	O
away	O
,	O
until	O
I	O
reached	O
a	O
BMI	O
number	O
of	O
22	O
.	O
I	O
think	O
I	O
would	O
have	O
been	O
discouraged	O
if	O
I	O
had	O
tried	O
to	O
make	O
all	O
the	O
changes	O
in	O
my	O
diet	O
at	O
once	O
.	O
It	O
would	O
have	O
seemed	O
too	O
hard	O
.	O
