Nuclear	Premise-B
energy	Premise-I
can	Premise-I
be	Premise-I
a	Premise-I
safe	Premise-I
and	Premise-I
clean	Premise-I
source	Premise-I
of	Premise-I
power	Premise-I
if	Premise-I
we	Premise-I
replace	Premise-I
the	Premise-I
current	Premise-I
light-water	Premise-I
and	Premise-I
heavy-water	Premise-I
reactor	Premise-I
designs	Premise-I
with	Premise-I
thorium-cycle	Premise-I
reactors	Premise-I
.	Premise-I
But	O
that	O
will	O
only	O
happen	O
with	O
a	O
groundswell	O
of	O
political	O
opposition	O
to	O
the	O
standard	O
designs	O
and	O
awareness	O
of	O
the	O
differences	O
between	O
types	O
of	O
nuclear	O
reactors	O
.	O
The	O
light-water	O
and	O
heavy-water	O
reactor	O
designs	O
have	O
become	O
entrenched	O
in	O
our	O
utility	O
and	O
government	O
institutions	O
since	O
they	O
were	O
chosen	O
in	O
the	O
1940's	O
and	O
1950's	O
.	O
That	O
choice	O
was	O
made	O
not	O
on	O
the	O
basis	O
of	O
efficiency	O
or	O
safety	O
,	O
but	O
because	O
these	O
designs	O
could	O
be	O
rapidly	O
built	O
and	O
because	O
they	O
create	O
large	O
quantities	O
of	O
uranium	O
and	O
plutonium	O
waste	O
for	O
use	O
in	O
making	O
nuclear	O
weapons	O
.	O
We	O
hold	O
on	O
to	O
these	O
older	O
designs	O
out	O
of	O
sheer	O
regulatory	O
inertia	O
,	O
and	O
we	O
will	O
continue	O
to	O
do	O
so	O
to	O
our	O
great	O
environmental	O
and	O
proliferative	O
detriment	O
until	O
voters	O
demand	O
that	O
the	O
NRC	O
and	O
its	O
international	O
counterparts	O
create	O
frameworks	O
that	O
encourage	O
the	O
development	O
of	O
commercial	O
thorium-cycle	O
power	O
plants	O
.	O
