I'm	Premise-B
surprised	Premise-I
that	Premise-I
more	Premise-I
attention	Premise-I
is	Premise-I
not	Premise-I
paid	Premise-I
to	Premise-I
the	Premise-I
arbitrariness	Premise-I
of	Premise-I
tipping	Premise-I
:	Premise-I
waiters	Premise-I
and	Premise-I
bartendeers	Premise-I
get	Premise-I
tips	Premise-I
,	Premise-I
checkout	Premise-I
attendants	Premise-I
,	Premise-I
bus	Premise-I
drivers	Premise-I
,	Premise-I
office	Premise-I
workers	Premise-I
,	Premise-I
do	Premise-I
not	Premise-I
.	Premise-I
Why	O
is	O
this	O
?	O
I	O
find	O
checkout	O
attendants	O
to	O
be	O
among	O
the	O
most	O
efficient	O
Americans	O
and	O
they	O
make	O
do	O
with	O
a	O
mere	O
thank	O
you	O
.	O
