Wearing	Premise-B
a	Premise-I
hijab	Premise-I
for	Premise-I
whatever	Premise-I
reason	Premise-I
-	Premise-I
religious	Premise-I
,	Premise-I
aesthetics	Premise-I
,	Premise-I
solidarity	Premise-I
is	Premise-I
not	Premise-I
by	Premise-I
itself	Premise-I
wrong	Premise-I
and	Premise-I
I	Premise-I
fail	Premise-I
to	Premise-I
see	Premise-I
why	Premise-I
it	Premise-I
is	Premise-I
such	Premise-I
a	Premise-I
big	Premise-I
issue	Premise-I
.	Premise-I
Because	Premise-I
people	Premise-I
wear	Premise-I
crosses	Premise-I
,	Premise-I
yammuka	Premise-I
or	Premise-I
sarees	Premise-I
covering	Premise-I
their	Premise-I
head	Premise-I
with	Premise-I
a	Premise-I
dot	Premise-I
on	Premise-I
the	Premise-I
forehead	Premise-I
.	Premise-I
The	O
only	O
problem	O
I	O
have	O
is	O
with	O
the	O
face	O
being	O
covered	O
.	O
If	O
you	O
can	O
see	O
my	O
face	O
,	O
should'nt	O
you	O
be	O
showing	O
your	O
face	O
to	O
me	O
,	O
too	O
.	O
It	O
is	O
just	O
a	O
mutual	O
acceptance	O
and	O
acknowledgement	O
of	O
each	O
other	O
,	O
in	O
fact	O
,	O
just	O
plain	O
decency	O
.	O
