Not	Premise-B
only	Premise-I
single	Premise-I
payer	Premise-I
but	Premise-I
doctors	Premise-I
must	Premise-I
be	Premise-I
on	Premise-I
salary	Premise-I
with	Premise-I
no	Premise-I
incentives	Premise-I
for	Premise-I
overtreatment	Premise-I
and	Premise-I
doctors	Premise-I
should	Premise-I
make	Premise-I
the	Premise-I
medical	Premise-I
decisions	Premise-I
based	Premise-I
on	Premise-I
medicine	Premise-I
,	Premise-I
not	Premise-I
what	Premise-I
the	Premise-I
patients	Premise-I
want	Premise-I
or	Premise-I
their	Premise-I
employers	Premise-I
or	Premise-I
their	Premise-I
lawyers	Premise-I
.	Premise-I
What	O
we	O
got	O
was	O
what	O
one	O
would	O
expect	O
when	O
a	O
bunch	O
of	O
Ivy	O
League	O
wing	O
tipped	O
lawyer	O
lobbyists	O
wrote	O
it	O
.	O
I	O
wonder	O
how	O
the	O
lawyers	O
would	O
like	O
the	O
doctors	O
to	O
come	O
up	O
with	O
Obamalaw	O
......	O
national	O
legal	O
care	O
!!!	O
