Zionist	Premise-B
jews	Premise-I
and	Premise-I
their	Premise-I
supporters	Premise-I
were	Premise-I
responsible	Premise-I
for	Premise-I
Palestinian	Premise-I
suffering	Premise-I
.	Premise-I
But	Premise-I
the	Premise-I
jews	Premise-I
have	Premise-I
violently	Premise-I
determined	Premise-I
the	Premise-I
fate	Premise-I
of	Premise-I
Palestinian	Premise-I
people	Premise-I
and	Premise-I
they	Premise-I
were	Premise-I
and	Premise-I
still	Premise-I
responsible	Premise-I
for	Premise-I
their	Premise-I
misery	Premise-I
and	Premise-I
suffering	Premise-I
.	Premise-I
Palestinian	O
next	O
generations	O
will	O
remember	O
and	O
will	O
never	O
forget	O
or	O
forgive	O
.	O
