Justice	Premise-B
Ginsberg	Premise-I
has	Premise-I
the	Premise-I
right	Premise-I
of	Premise-I
free	Premise-I
speech	Premise-I
also	Premise-I
.	Premise-I
That's	O
the	O
first	O
thing	O
I	O
thought	O
.	O
Her	O
thoughts	O
on	O
Merrick	O
Garland	O
were	O
very	O
appropriate	O
.	O
The	O
Senate	O
refusing	O
to	O
have	O
a	O
confirmation	O
hearing	O
under	O
the	O
Obama	O
administration	O
is	O
an	O
outrage	O
.	O
More	O
than	O
that	O
,	O
not	O
having	O
Merrick	O
Garland	O
on	O
the	O
Supreme	O
Court	O
is	O
a	O
wasted	O
opportunity	O
for	O
our	O
country	O
.	O
If	O
you	O
are	O
acquainted	O
with	O
the	O
legal	O
system	O
,	O
you	O
can	O
appreciate	O
the	O
years	O
of	O
hard	O
work	O
Judge	O
Garland	O
has	O
put	O
in	O
honing	O
his	O
redoubtable	O
intellect	O
.	O
In	O
addition	O
,	O
he	O
has	O
already	O
provided	O
a	O
lifetime	O
of	O
public	O
service	O
.	O
He	O
richly	O
deserves	O
to	O
be	O
on	O
the	O
Supreme	O
Court	O
.	O
The	O
United	O
States	O
would	O
be	O
a	O
better	O
place	O
.	O
Professor	O
Chemerinsky	O
,	O
you	O
were	O
so	O
insightful	O
during	O
bar	O
review	O
,	O
and	O
you	O
are	O
right	O
on	O
target	O
here	O
.	O
