It	Premise-B
won't	Premise-I
be	Premise-I
easy	Premise-I
due	Premise-I
to	Premise-I
over	Premise-I
enthusiastic	Premise-I
Photographers/Journalists	Premise-I
and	Premise-I
those	Premise-I
who	Premise-I
fabricate	Premise-I
stories	Premise-I
out	Premise-I
of	Premise-I
nowhere	Premise-I
.	Premise-I
Their	O
privacy	O
must	O
be	O
protected	O
and	O
ensured	O
by	O
media	O
persons	O
.	O
They	O
must	O
not	O
be	O
haunted	O
as	O
has	O
been	O
witnessed	O
in	O
so	O
many	O
cases	O
concerning	O
Royal	O
Linage	O
.	O
I	O
wish	O
them	O
Good	O
Luck	O
&	O
God	O
Bless	O
this	O
couple	O
.	O
