I	Premise-B
agree	Premise-I
with	Premise-I
Princeton's	Premise-I
move	Premise-I
as	Premise-I
a	Premise-I
useful	Premise-I
first	Premise-I
(	Premise-I
but	Premise-I
small	Premise-I
)	Premise-I
step	Premise-I
in	Premise-I
addressing	Premise-I
America's	Premise-I
woeful	Premise-I
inabilities	Premise-I
to	Premise-I
communicate	Premise-I
around	Premise-I
the	Premise-I
world	Premise-I
.	Premise-I
But	O
Betty	O
is	O
absolutely	O
correc	O
t--t	O
he	O
right	O
and	O
best	O
place	O
to	O
teach	O
foreign	O
languages	O
is	O
as	O
early	O
as	O
possible	O
and	O
over	O
many	O
years	O
,	O
while	O
the	O
mind	O
is	O
most	O
plastic	O
and	O
language	O
can	O
be	O
taught	O
in	O
the	O
same	O
manner	O
we	O
learn	O
English	O
--	O
naturally	O
,	O
and	O
without	O
the	O
mind	O
numbing	O
exercises	O
that	O
teach	O
the	O
infrastructure	O
of	O
a	O
language	O
--	O
not	O
how	O
to	O
actually	O
use	O
it	O
.	O
