" "	competence	feedbacks	firstAssignment	firstHIT	hits	timeAvg	timeMax	timeMin	timeStdev
A104V8NZIQFN2F	0.313		308Q0PEVB9PN4LNAGETC5FMXPGM9IQ	3I7KR83SNAPBOWG5QF9MUB5Q2J89K9	50	265	905	85	149
A1DBPM1UHEP4MU	0.189		3U5NZHP4LSE80DSXRL7ORTLXU4OPH1	3A3KKYU7P3THQGTG42WUN855PPOWMR	4	532	725	444	130
A1FBBY2JJYRMRI	0.156		3E13VNJ1NO75FGKFC1EJQ94ER1S1IX	3R5LWXWHR0KWN62K34ULCMZF25IGXW	3	202	230	179	26
A1I4CYG5YDFTYM	0.179		3TDXMTX3CC60M2LCI7Q0L5VVZCAI6E	3XEIP58NL0Z1ETG0FDFMMZKY6M2LZ4	37	153	301	97	38
A1PIWJSP8Q5UW7	0.390		3E7TUJ2EGDY6WA7OO0S1EI6KXAUD96	3JHB4BPSFKLXZZE03KTJQXHZ1P09Q1	21	532	909	257	200
A1S7LZJHFQSMU8	0.106		3NL0RFNU0GZDDA7MZMIX1NQUVPRK44	3FULMHZ7OU95HEAWUWQBSGME5WPM4V	2	562	899	224	477
A1US7KJA2ZOHSA	0.258		3B837J3LDP8I2ZMSF7NC02SE400RST	338431Z1FLR0INX6IO11SDMTSAOORV	4	659	1145	345	341
A20MYUKGSXUKM7	0.002	This is my first HIT for you on this task, so expect my work to get progressively better. Please email me with any feedback if I am not doing them up to par. I found the first two in this HIT a little difficult because of the wording in the first one, and the second one seemed already very simple.  savageturkage@gmail.com	3FFJ6VRIL2058RZXGIAJC4L4MDR0I6	3Y3N5A7N4GLLFLOGJ3EI85QL0XOMYG	1	1062	1062	1062	0
A21I4DTJGWJYQJ	0.238		3CN4LGXD5Y08XFW331JOAV55T484YR	3W0KKJIARRLBARXVLN38UFAFIDQK8V	10	108	145	49	26
A29BHDBJ5CM266	0.110		3Q5C1WP23NDT3SP05HVP1009MHE51N	3R16PJFTS33ARQAT9KDVD3UAGRUK4O	13	186	296	87	58
A2GK75ZQTX2RDZ	0.002		3FQ5JJ512M0ZZIHSHRXT0WWUM6LNK1	31KSVEGZ3448NW689ASB97ZFVCNRWA	1	1109	1109	1109	0
A314XJY8V1YL12	0.002		30LSNF239V7C412BV5EXVSEJJ922IF	3J6BHNX0U94WDYKZRPSRCC0A78PNKM	1	723	723	723	0
A339ZXUGPYUANN	0.002		326O153BMJANR6Y5WB8N6W7VO7LEDS	360ZO6N6J1V6EKG8BRM29OXURO39ME	1	538	538	538	0
A33LYSCQQU1YDJ	0.002		3IKZ72A5B5SOJWPEGG6WKJ4PECWFNN	3QXFBUZ4ZKS4628PYZJYSF0B8N1GU4	1	494	494	494	0
A34QZDSTKZ3JO9	0.309		35GCEFQ6I60NK9N4Z9GOEXM1LYDZ3P	3T8DUCXY0NIARF6SKONEV2SMLWZT9Z	59	153	474	85	67
A3GKXRWO1II2NM	0.152		3YHH42UU5CR7YS731L7W4KDW3DAL0M	39WSF6KUV2XB9JS1WIH1T6NADLYEO8	5	366	643	235	183
A3TKD7EJ6BM0M5	0.393		3URFVVM166U7J30NETCP16C1YB8ZU8	3T2EL38U0MWN0VWY60ZX603H8SRQX1	39	167	404	95	63
A3TQKAOIJSPPRB	0.428		3TYCR1GOTDV40DDT5FKOAJGILNDZLI	3D3B8GE8923CZNDL37EUQSRPWTE9PA	13	170	259	113	46
A3UK8YO8XN4JEP	0.230		3OB0CAO74I129RKYI8374KE9YBEYHV	3BC9H1KCYUOHKXIUN5K5H3SCYZ2YWJ	6	247	315	119	71
AE861G0AY5RGT	0.087		3F1567XTNXH0LJBTTMYLEHDJGO19QN	39WSF6KUV2XB9JS1WIH1T6NADLYOEI	29	604	1046	159	232
ALJMDVY95Y5G4	0.232		3JNQLM5FT5YEU2AHG8BAN86B0BUL26	3XDJY5RK5SXOUMF53YHXJQ38IIT4U6	2	243	286	199	62
APW9F8OTJ4KXO	0.291		3FIUS151DWEON44N4WZJCKV4EE0GG3	3126F2F5F8FTUJ42BIUGI6S0NQUEPP	36	284	978	88	241
ASFR82SJYMGNU	0.106		3L70J4KAZHYK1THTG661ADH43SUDA3	3URJ6VVYUPZTHHV87C5OKKBJ0W54OT	2	290	291	289	1
AWQ575N3GXTL1	0.001		3C44YUNSI21ROXNV5POY086Z2EHPDI	3G5RUKN2ECFCW218NS12M3MUWED9NE	3	666	901	408	247
