" "	competence	feedbacks	firstAssignment	firstHIT	hits	timeAvg	timeMax	timeMin	timeStdev
A104V8NZIQFN2F	0.313		308Q0PEVB9PN4LNAGETC5FMXPGM9IQ	3I7KR83SNAPBOWG5QF9MUB5Q2J89K9	117	349	907	85	184
A1DBPM1UHEP4MU	0.190		3U5NZHP4LSE80DSXRL7ORTLXU4OPH1	3A3KKYU7P3THQGTG42WUN855PPOWMR	4	532	725	444	130
A1FBBY2JJYRMRI	0.157		3E13VNJ1NO75FGKFC1EJQ94ER1S1IX	3R5LWXWHR0KWN62K34ULCMZF25IGXW	3	202	230	179	26
A1I4CYG5YDFTYM	0.158		3TDXMTX3CC60M2LCI7Q0L5VVZCAI6E	3XEIP58NL0Z1ETG0FDFMMZKY6M2LZ4	60	152	346	74	45
A1M5QEN7OHRWOI	0.002		33LK57MYLUHR4Q8JPOHPM5UDDKRSZ1	3KQC8JMJGC4Y74QH3L5FQ6MCAAV3HJ	1	472	472	472	0
A1OYYWJ2B7OQTD	0.000		317HQ483I848TNR4HOCHNGHHVBHNIU	3A9LA2FRWSQAN2XVNAC3XMBGH5VXHC	4	317	370	253	49
A1PIWJSP8Q5UW7	0.460		3E7TUJ2EGDY6WA7OO0S1EI6KXAUD96	3JHB4BPSFKLXZZE03KTJQXHZ1P09Q1	29	514	996	232	207
A1S7LZJHFQSMU8	0.106		3NL0RFNU0GZDDA7MZMIX1NQUVPRK44	3FULMHZ7OU95HEAWUWQBSGME5WPM4V	2	562	899	224	477
A1US7KJA2ZOHSA	0.250		3B837J3LDP8I2ZMSF7NC02SE400RST	338431Z1FLR0INX6IO11SDMTSAOORV	4	659	1145	345	341
A20MYUKGSXUKM7	0.002	This is my first HIT for you on this task, so expect my work to get progressively better. Please email me with any feedback if I am not doing them up to par. I found the first two in this HIT a little difficult because of the wording in the first one, and the second one seemed already very simple.  savageturkage@gmail.com	3FFJ6VRIL2058RZXGIAJC4L4MDR0I6	3Y3N5A7N4GLLFLOGJ3EI85QL0XOMYG	1	1062	1062	1062	0
A21I4DTJGWJYQJ	0.248		3CN4LGXD5Y08XFW331JOAV55T484YR	3W0KKJIARRLBARXVLN38UFAFIDQK8V	10	108	145	49	26
A26XN1TM6CV01T	0.002		3B3WTRP3DCEJT098RB8KIZFG0N529U	367O8HRHKGK8F9N1ETMX4PLKXL7S4D	1	291	291	291	0
A29BHDBJ5CM266	0.154		3Q5C1WP23NDT3SP05HVP1009MHE51N	3R16PJFTS33ARQAT9KDVD3UAGRUK4O	49	146	296	59	46
A2A67BDUFG5RCH	0.218		3RKNTXVS3NA71XY0NV5879NYQJ8A42	36D1BWBEHNDVE0V9QI7NZ1PGLIU2MG	1	568	568	568	0
A2GK75ZQTX2RDZ	0.002		3FQ5JJ512M0ZZIHSHRXT0WWUM6LNK1	31KSVEGZ3448NW689ASB97ZFVCNRWA	1	1109	1109	1109	0
A2T1K94BLNDBAH	0.217		324G5B4FB4K8J7I1XR6MLFVV8ZI70O	3QGHA0EA0JCL7PPJDD6L9SUBDQKWB2	1	381	381	381	0
A2VI5OSZ96YTO0	0.218	Really enjoyed this innovative approach to deciphering arguments. Hope these answers help your research.	3PDJHANYK6S0Q7ASCP8FLTUG06DH6H	3UQVX1UPFSTYBMO21DKP14I3IFT205	1	371	371	371	0
A314XJY8V1YL12	0.000		3K9FOBBF2IVAJOZA2R9UFW99BBWNLK	3I4E7AFQ2KBZXRJ160ERKW6PH1BJTK	4	698	861	398	208
A339ZXUGPYUANN	0.001		326O153BMJANR6Y5WB8N6W7VO7LEDS	360ZO6N6J1V6EKG8BRM29OXURO39ME	2	475	538	411	90
A33LYSCQQU1YDJ	0.042		3QRYMNZ7FZTY217FB0BL1NJQ5N9TNI	3JTPR5MTZSOSN9ETNPW5IV0OGNPK5T	5	751	1111	494	255
A34QZDSTKZ3JO9	0.315		35GCEFQ6I60NK9N4Z9GOEXM1LYDZ3P	3T8DUCXY0NIARF6SKONEV2SMLWZT9Z	82	155	474	85	59
A37CE37LHUN8M6	0.361		3KIBXJ1WD66HH3H4I6X6FLWZCLTOKU	36QZ6V1589P7W7HGTZDFHTJEWYVSU0	2	846	1022	670	249
A3GKXRWO1II2NM	0.258		3YHH42UU5CR7YS731L7W4KDW3DAL0M	39WSF6KUV2XB9JS1WIH1T6NADLYEO8	8	302	643	159	165
