" "	competence	feedbacks	firstAssignment	firstHIT	hits	nonReasonCouns	timeAvg	timeMax	timeMin	timeStdev
A138BU1VWM2RKN	0.054		31EUONYN2WFVXEBGHABDHU7GTWVVO9	3511RHPADVQSC2U95WL90WIZYDPLRY	2	0	506	580	432	105
A1I4CYG5YDFTYM	0.302	Some of these statements are hard to decide what they really mean in relevance to the topic. I hope I am answering them correctly, there is no option for it to be unclear.	3LWJHTCVCDY9MT26W8YDODZUK48QF9	31ANT7FQN8E1LJDLH4T853KWPERH59	41	0	128	331	75	45
A21I4DTJGWJYQJ	0.576		3PPTZCWALRWFRAT6XKSKR5FCW8PZQR	3EHIMLB7F7BK81WNF20BHNUNR4SH8B	43	0	116	493	56	103
A34QZDSTKZ3JO9	0.383		3OCHAWUVGPW4BCVWJXK2YYNSP2YKXM	37OPIVELUUFYRPP2C0KPDE0IHSSHAF	15	0	181	588	71	127
A35IEUJLYNMETD	0.120		3IO1LGZLKA97XW9Z9LE98G1HXYG686	32L724R85LW5AO6O71K73LQSGR7IPP	14	0	352	659	75	136
A37CE37LHUN8M6	0.267		3TXWC2NHN02CYZQ6LQNQ9HSKZTR9SG	3XAOZ9UYRZ3FAUB5Z7EQBRZG4LIQ1W	52	0	343	904	144	165
AD8UJKT5HYGNJ	0.003	1st hit in this batch and am again wondering if I did this correct.  They are hard, but like using my brain here on mturk for a change :)	3JMSRU9HQJ69LNYRNW8HCID2PUCEVB	3SNR5F7R9251DXHYYN4W99RO2K5EI0	1	0	586	586	586	0
AE861G0AY5RGT	0.229		3F0BG9B9MQZ5G2EM5ZHVD7PFLQT7YE	30OITAWPBQFKM6FXKU6PHJPYBAAH90	22	0	467	1191	212	274
ANCIB6B6EBBIJ	0.340	"Hello! On the first debate topic in this hit, I believe it would be more logical to say ""is the bar too high"" instead of ""low"". Thank you!;The second one doesn't seem to support one argument or the other here. I did the best I could.;I wasn't sure about the second one because it appears the """	3QXNC7EIPJ7CXQ6UCO46ZBM140W90F	32L724R85LW5AO6O71K73LQSGR7IPP	26	0	536	1061	121	246
APW9F8OTJ4KXO	0.187		34Z02EIMITPVH5F8AU9NQBNDY8PT0R	3XAOZ9UYRZ3FAUB5Z7EQBRZG4LIQ1W	32	0	199	712	122	101
