" "	competence	feedbacks	firstAssignment	firstHIT	hits	nonReasonCouns	timeAvg	timeMax	timeMin	timeStdev
A104V8NZIQFN2F	0.311		308Q0PEVB9PN4LNAGETC5FMXPGM9IQ	3I7KR83SNAPBOWG5QF9MUB5Q2J89K9	142	124	352	907	85	182
A1DBPM1UHEP4MU	0.189		3U5NZHP4LSE80DSXRL7ORTLXU4OPH1	3A3KKYU7P3THQGTG42WUN855PPOWMR	4	3	532	725	444	130
A1FBBY2JJYRMRI	0.156		3E13VNJ1NO75FGKFC1EJQ94ER1S1IX	3R5LWXWHR0KWN62K34ULCMZF25IGXW	3	2	202	230	179	26
A1I4CYG5YDFTYM	0.165		3TDXMTX3CC60M2LCI7Q0L5VVZCAI6E	3XEIP58NL0Z1ETG0FDFMMZKY6M2LZ4	81	36	160	346	74	54
A1M5QEN7OHRWOI	0.002		33LK57MYLUHR4Q8JPOHPM5UDDKRSZ1	3KQC8JMJGC4Y74QH3L5FQ6MCAAV3HJ	1	0	472	472	472	0
A1OYYWJ2B7OQTD	0.013		3IXQG4FA2UADHD94A41VJSIKV25B9B	3GMLHYZ0LE94STTPS554ZF7FDJRYUK	16	1	247	370	163	54
A1PIWJSP8Q5UW7	0.444		3E7TUJ2EGDY6WA7OO0S1EI6KXAUD96	3JHB4BPSFKLXZZE03KTJQXHZ1P09Q1	29	45	514	996	232	207
A1S7LZJHFQSMU8	0.106		3NL0RFNU0GZDDA7MZMIX1NQUVPRK44	3FULMHZ7OU95HEAWUWQBSGME5WPM4V	2	1	562	899	224	477
A1US7KJA2ZOHSA	0.261		3B837J3LDP8I2ZMSF7NC02SE400RST	338431Z1FLR0INX6IO11SDMTSAOORV	4	4	659	1145	345	341
A20MYUKGSXUKM7	0.002	This is my first HIT for you on this task, so expect my work to get progressively better. Please email me with any feedback if I am not doing them up to par. I found the first two in this HIT a little difficult because of the wording in the first one, and the second one seemed already very simple.  savageturkage@gmail.com	3FFJ6VRIL2058RZXGIAJC4L4MDR0I6	3Y3N5A7N4GLLFLOGJ3EI85QL0XOMYG	1	0	1062	1062	1062	0
A21I4DTJGWJYQJ	0.236		3CN4LGXD5Y08XFW331JOAV55T484YR	3W0KKJIARRLBARXVLN38UFAFIDQK8V	10	8	108	145	49	26
A26XN1TM6CV01T	0.002		3B3WTRP3DCEJT098RB8KIZFG0N529U	367O8HRHKGK8F9N1ETMX4PLKXL7S4D	1	0	291	291	291	0
A29BHDBJ5CM266	0.152		3Q5C1WP23NDT3SP05HVP1009MHE51N	3R16PJFTS33ARQAT9KDVD3UAGRUK4O	49	21	146	296	59	46
A2A67BDUFG5RCH	0.217		3RKNTXVS3NA71XY0NV5879NYQJ8A42	36D1BWBEHNDVE0V9QI7NZ1PGLIU2MG	1	1	568	568	568	0
A2GK75ZQTX2RDZ	0.002		3FQ5JJ512M0ZZIHSHRXT0WWUM6LNK1	31KSVEGZ3448NW689ASB97ZFVCNRWA	1	0	1109	1109	1109	0
A2T1K94BLNDBAH	0.218		324G5B4FB4K8J7I1XR6MLFVV8ZI70O	3QGHA0EA0JCL7PPJDD6L9SUBDQKWB2	1	1	381	381	381	0
A2VI5OSZ96YTO0	0.217	Really enjoyed this innovative approach to deciphering arguments. Hope these answers help your research.	3PDJHANYK6S0Q7ASCP8FLTUG06DH6H	3UQVX1UPFSTYBMO21DKP14I3IFT205	1	1	371	371	371	0
A2YWFGJOOHKH0Q	0.002		3WMINLGALCFAW1BFGABQQ7ZMJ2UACX	3OREP8RUT2NPA3ZJY823NP8NJ2VGBO	1	0	875	875	875	0
A2ZPH76PDI9XIQ	0.002	This is my first, hope I did it right.	3EF8EXOTT271AR4LUJZJ2AJE5SQ1J7	3PMR2DOWOOD797PQ2X9PBEBSJ1045O	1	0	207	207	207	0
A314XJY8V1YL12	0.000		3K9FOBBF2IVAJOZA2R9UFW99BBWNLK	3I4E7AFQ2KBZXRJ160ERKW6PH1BJTK	8	0	551	861	349	209
A339ZXUGPYUANN	0.001		326O153BMJANR6Y5WB8N6W7VO7LEDS	360ZO6N6J1V6EKG8BRM29OXURO39ME	3	0	442	538	378	84
A33LYSCQQU1YDJ	0.042		3QRYMNZ7FZTY217FB0BL1NJQ5N9TNI	3JTPR5MTZSOSN9ETNPW5IV0OGNPK5T	5	1	751	1111	494	255
A34QZDSTKZ3JO9	0.299		35GCEFQ6I60NK9N4Z9GOEXM1LYDZ3P	3T8DUCXY0NIARF6SKONEV2SMLWZT9Z	96	81	158	474	85	61
A37CE37LHUN8M6	0.239		39L1G8WVWR3QPD2WRY7WM32P9X6131	3W5PY7V3UPJVEDIVG61QSDY4W3TJY9	34	23	514	1191	175	246
A3GKXRWO1II2NM	0.249		3YHH42UU5CR7YS731L7W4KDW3DAL0M	39WSF6KUV2XB9JS1WIH1T6NADLYEO8	8	7	302	643	159	165
A3GNQDFPZALU92	0.058		3WR9XG3T64NPIV02GSTOXIL8P9G47F	3KWGG5KP6JE8CINBNBWTBEY2X96MC8	8	2	794	1168	449	272
A3LW1Z5Y6YX552	0.367		3U8YCDAGXQSIPPNGTQFSL6CQESDQ0F	3QHITW7OYOLB4IO5VQ7JMSSJ77JAQI	2	3	264	324	203	86
A3TKD7EJ6BM0M5	0.365		3URFVVM166U7J30NETCP16C1YB8ZU8	3T2EL38U0MWN0VWY60ZX603H8SRQX1	107	133	162	762	67	99
A3TQKAOIJSPPRB	0.478		3TYCR1GOTDV40DDT5FKOAJGILNDZLI	3D3B8GE8923CZNDL37EUQSRPWTE9PA	14	24	171	259	113	44
A3UK8YO8XN4JEP	0.227		3OB0CAO74I129RKYI8374KE9YBEYHV	3BC9H1KCYUOHKXIUN5K5H3SCYZ2YWJ	12	9	237	367	119	69
A8GWYS9O8FUEK	0.437		38F5OAUN5OOJU7OXVZD7R7UCVJS7H5	33IXYHIZB5UX2C3W9KJ4MTK7CG32ER	1	3	188	188	188	0
AB98SGS280TY5	0.516		3E1QT0TDFQLNQG40BMNY5JRM6JC8IR	3EQVJH0T40X36LOBI0B68JQA497THP	50	105	376	1119	53	293
