" "	competence	feedbacks	firstAssignment	firstHIT	hits	nonReasonCouns	timeAvg	timeMax	timeMin	timeStdev
A104V8NZIQFN2F	0.167	Yes the comment section one does directly say comment sections have failed but it does add something.	39RP059MEI5SOXSYZD50OEO4VHUMBZ	3T6SSHJUZFMDT2JKU6UNUOPGUMCIIV	58	0	126	526	44	103
A10GJ2FOR16B2I	0.172		37M28K1J0RPX4FHLQ2SCDBCH96UAJ6	3A520CCNWNCM7FY0MZCJSB35PL0AEA	14	0	173	568	37	127
A138BU1VWM2RKN	0.232		3KV0LJBBH3XF449NVARQOTT8D4BRMX	3RWSQDNYL9Y99KF4SQIHOUZWY2SFFA	9	0	95	238	48	59
A13BTXTJQIXWTL	0.392		3483FV8BEFVWBH7AT458YPOEBCF26I	3PUV2Q8SV4GMYJPSWI1VH45Q7RKDBF	4	0	101	162	75	41
A13NXSZ9D5NTHN	0.221		3Z4GS9HPNWMM1IILIQRV0U5IH3Q777	3ZXNP4Z39RXIUJAUWIN3VFRZXAV7L3	7	0	190	572	48	196
A14URA3LW0KAQP	0.001		3VHP9MDGROW5SSSNRQXI48ADG1QCFX	3P7RGTLO6EPPTFQAILNMQ6GA9IWAKU	1	0	108	108	108	0
A15A984KE7R40O	0.445		3B1NLC6UG08U0HXM7FP66T9WG08PGS	3HRWUH63QUETVFZWK2OLANHSBZ0N56	4	0	84	160	48	53
A15JXW50UYKBGP	0.143		317HQ483I848TNR4HOCHNGHHVYYNIL	37SDSEDIN9E94QB9DDXQP0EGAOW81L	6	0	147	288	82	94
A160FBL6SE1CIL	0.252		38SKSKU7R29I5NOJ5BW2AODSQ3ZILF	3KL228NDMVYQ363D4LFWMSRD7D9KGG	20	0	59	136	33	22
A171S8E9IFSHH2	0.780		3JC6VJ2SACVPXG2010OIC1TCR50A5L	3E9VAUV7BWQKDKFRM0ODZEVL7X5YAD	1	0	114	114	114	0
A1743ZO14I4NFO	0.124		31LM9EDVOM44OYBAZ6XHZHWH8DSJNY	3PA41K45VNG8L4PSOAGACW0J2KW7P1	17	0	82	129	36	26
A17ELSQUMU0QT6	0.761		3QILPRALQ67F4HFR820QARN3S2UN8E	3N2YPY1GI6A6Z31YXU3FOYHIAV1VEW	1	0	64	64	64	0
A17G3ZF02QM7Q7	0.087		33L7PJKHCHADZUKB5YM2JQTVHKKT8P	36MUZ9VAE6EK5M1C693LICBBAOXDEF	20	0	110	166	81	26
A17MFEPFEPG9U8	0.165		3S4AW7T80CUOXGP4KMUYGN39LKK4L6	3KL228NDMVYQ363D4LFWMSRD7D9KGG	4	0	160	360	85	133
A18T67NDI2JK5Y	0.235		3QJOXOW4XK3QV04I947QPMUPYE3EMN	3LOJFQ4BOXRNRMTM2VEOG7OGULTKD6	9	0	78	121	26	33
A1A6KSXB58AVM1	0.171		3J4Q2Z4UTZFBXFO1MX8DS1LUFJDQWA	3UYRNV2KITBCIXIYI0VOM7RJDP1N88	4	0	204	233	166	29
A1B76WYZ47BQJ	0.000		3TVSS0C0E2COPVGT3128X6WHZROTW5	3MWOYZD5WV0F3P5EPHKKJTHJSU5NOB	19	0	157	677	54	163
A1BEBN58T1E0TH	0.330		3EA3QWIZ4J76O0WOEKYTWFN9KGOITL	3M67TQBQQH05CJ7JEOWX0X2UYOKA90	35	0	47	104	27	16
A1C2DV2ZQWKV5C	0.460		34HJIJKLP68RTL1YYQW43W1BCIYV4S	3Y3CZJSZ9K5EADROD952J7M2CWP5RC	4	0	243	289	211	37
A1C59M3HPCO503	0.216		3TXMY6UCAF02JHIW568CG7ERN44QCC	3K1H3NEY7LBIP0X3C4T9IFWNN4CDGW	33	0	144	1076	30	238
A1CA46R2A6TV9W	0.001		3K772S5NP9N43M37I7RDXHMTHTIHEX	391JB9X4ZYKQVGZZFODRZXBA3ZLKMO	1	0	117	117	117	0
A1CE2XPYCDRHVZ	0.217		3KOPY89HM9EXKUI0HND2Q3YB3WZ3J0	3M0556243SWLXCSLQE1UWZ850TEFNH	4	0	96	137	68	33
A1CF6U3GF7DZEJ	0.089		3RU7GD8VPP5XQM6D2FJNV7SZ4ALPST	31ANT7FQN8E1LJDLH4T853KWPNR5HF	26	0	52	121	29	22
A1DJBDVXF6Z1KK	0.002		3Z4XG4ZF493KGBTVA8NZ8TE1UFNX8P	3GL25Y68436WFGY6E7SGPRJCZ80MXF	5	0	115	163	78	37
A1DX2HE6SOM57Y	0.141		3JMSRU9HQJ69LNYRNW8HCID2P7NEVC	3TKXBROM5TM9OD3QCOFN6P4G711IJ7	6	0	141	183	104	34
A1ENY8KI7RDXMM	0.001		3GM6G9ZBKO9SKJMFZZWLO8UQ1P4MT1	3THR0FZ95P5PFP2TD44561DUNZ5LO7	1	0	256	256	256	0
A1EQ2HDHF2WWSY	0.149		3VZLGYJEYMMZ07UIJYNCLDB5TPBZXF	3OID399FXGJCB0181KNR0UWBMPCDFX	13	0	74	197	39	43
A1EW9Y1CG3DS7G	0.225		3ZSANO2JCGJLZ9HJOCNIJDEV247FSP	3SD15I2WD26IAF6072EBTFXM2DK36M	12	0	92	244	42	61
A1FG9CPKOMPKEC	0.142		3IJXV6UZ1YVT8LJWAVTYW0MRWVQIR7	3RHLQY6EDTG2DK4JH3R89QZKXZ3D49	54	0	68	129	33	21
A1FUBGE9CHDHU6	0.121		34S6N1K2ZWVI9SDZZTEHACCDQP3HL2	373L46LKP7I0U8TECR0ZJ5JTZ5QKJK	10	0	156	283	76	66
A1G187YBG0DVMQ	0.363		3ZWFC4W1UVJ9YUH69NNDT39ZG2FRF4	3RKHNXPHGW898O48OQ4DQ7S4GLOKUG	7	0	36	45	31	6
A1G94QON7A9K0N	0.128		338JKRMM27B1D9MV22PR1YW2WEKHA2	3I7SHAD35M8201SFWUOIVS6OXFL7M5	8	0	99	157	58	38
A1H3IOEYN0VNB2	0.179		3SUWZRL0MZPO6XJQMO090QX38ET6EA	3TKXBROM5TM9OD3QCOFN6P4G711IJ7	57	0	796	1188	77	318
A1HKYY6XI2OHO1	0.296	"Hi! I think I actually understand these (I hope! feedback on if I'm doing them correctly would be great) this time.  I really like the interface: The way the 'cards' are arranged, make it look really slick and visually straightforward.  I did want to let you know though, on this one, for the question ""Is Artificial Intelligence Now The Real Deal?"", in the conclusion set, the first option is missing.  I think the correct one is ""Machines are gaining the upper hand on humans"", anyway, so it's still filled out correctly, but in case it's a glitch you needed to know about, wanted to drop you a line. :)  Regards."	3ATTHHXXWB0D5H58JUZQLI8FXBSXIX	35NNO802AV8573UBRM7FZWLXGL6INB	6	0	183	451	58	145
A1I4CYG5YDFTYM	0.166	the last question on this hit is missing an argument, it is just a bubble and blank space	3S06PH7KSSGO754TKND8ZCO10SND13	3ZLW647WAL7USENZK02832GAM8I325	74	0	82	447	32	58
A1IA4CST74I1Q8	0.002		3XLBSAQ9Z5O5LSOR1LJEREYHRVFZ71	3EPG8DX9LK2TY0B90H1DECMNBE15PK	1	0	71	71	71	0
A1J0GU26323WVA	0.241		3WSELTNVR4ERIIDQ2W6GFHZQ77DAT1	3T6SSHJUZFMDT2JKU6UNUOPGUMCIIV	63	0	83	694	32	93
A1JKRJA5KZK573	0.263		3VBEN272MLBRD9DEZWT01YE73JASG4	338GLSUI43NIDPKQYAIGVTIBNSMFST	5	0	113	156	76	32
A1JQJAWQ9YWTC3	0.246		337RC3OW06ENRT8J4IVLPD3MY5VVLP	3INZSNUD8023AQAVYYNZQYA0JRHD95	12	0	149	577	38	164
A1JSUTQQBKXS86	0.001		3RRCEFRB7NOCK73ST9542K749QG4BT	3KG2UQJ0MJ0IO1IU4UCO8YCJ7VNNQJ	1	0	266	266	266	0
A1JV64BL3WCK0G	0.325		3KIBXJ1WD66HH3H4I6X6FLWZDBJKOX	37M4O367VJUNDXEW819LX8SS69Q5MO	9	0	275	606	105	208
A1LD0QIDVO016U	0.000		3DHE4R9OCXNY8AWG5HEUAG135QJ2GL	3VADEH0UHC9U429KCDEL7NWFPY9SP9	3	0	153	203	116	45
A1LZPWVZRTUZD0	0.213		3GNCZX450JZTQQKJLFXWA7YTI4LAPP	3ECKRY5B1Q8ZOS8UUAI9UJS6QZEIZS	16	0	99	148	68	23
A1M5QEN7OHRWOI	0.288		3VP0C6EFSH8MILB33MOSDY2CHHVM6S	3538U0YQ1F6ET8ZB8VHFNLAZVCN3FP	3	0	152	190	107	42
A1NUKP1UCT2R2R	0.001		3U088ZLJVL5N9MJ25ZEYDVUC2GMW0R	3YZ7A3YHR55QBSR1SY579HRYYY85S0	5	0	87	118	70	19
A1ODVXVCDHOVF1	0.005		3LO69W1SU4P49WIOFNWZPC0CBPQGL2	3PCPFX4U4026095D66TB0T3A541FQ4	2	0	52	54	50	3
A1OSRB1Q63XXWZ	0.000		3FTOP5WARG0132J3Y0VJO5040JY0JJ	3PN6H8C9R42HF9K0Q41ZMTLKP9ZADH	7	0	100	172	74	36
A1P6OXEJ86HQRM	0.001		3S0TNUHWKUU6I5OEJ8MNEMB9EXDD85	3RWSQDNYL9Y99KF4SQIHOUZWY2SFFA	3	0	141	151	125	14
A1PIAQO18D9AT7	0.385		3BV8HQ2ZZXDLGK2E6JYN477CN056AR	3UEDKCTP9V27ADSCBIB2GFEK8AQ7K0	3	0	127	174	102	41
A1QX1RYLCFXZJ9	0.056		3DH6GAKTYZ1O0CKSOU9E4RIEVV4YZJ	3C8QQOM6JPDFJ3RQF9R0M4H8BQ6IL9	35	0	82	216	43	39
A1T5YMBH35PDBX	0.285		3IJXV6UZ1YVT8LJWAVTYW0MRWU9IRO	3TKXBROM5TM9OD3QCOFN6P4G711IJ7	10	0	72	112	39	23
A1U9AEFBBCC9UV	0.076	"spelling error Organic food is wort the expense;spelling error ""Iran is still a treat because they oppose Israel's existence"""	3DY46V3X3QUSRAQJ64X14QDQZRT554	3RHLQY6EDTG2DK4JH3R89QZKXZ3D49	15	0	140	265	76	49
A1UX9EWSK062A9	0.000	Would like more to do in each hit and possibly if that happens to add 10 more cents to the hit. Also, I would do all these all day long if you qualified me for a closed batch to just me. Would help me out a lot. Not asking for any favors or anything. Just putting that out there is all. Have a nice day!	3EQHHY4HQT4Q77F3N0GS8N4FP0A5GP	37VE3DA4YUT3AZUUIEKL8PKOZJDBHM	2	0	197	249	145	74
A1WRQCH7EPLS35	0.000		3NVC2EB65RBNFJDZ3NE50QDZG073YT	32XN26MTXZV4C8AABJ2UG0HCPWPL0H	2	0	75	80	69	8
