assignmentIdToReject	assignmentIdToRejectComment
38SKSKU7R29I5NOJ5BW2AODSPU7LI7	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3TPWUS5F8AD73EEIHF7I8WWDAWQWC8	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
36PW28KO408PTZVTC1HLGVZP3P1AE5	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3NXNZ5RS1B9QF16EXNPFEQWOBKF791	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3DPNQGW4LMR6EVMXXIOWR4LCUHH463	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
32VNZTT0A8GZ0EKHP6RU2ZC8Q4VR4O	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3WQQ9FUS6B6D38QU5CVHJWN9A4OB82	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
34YB12FSQZ0OFE09FZXEPPF1AM5MGI	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3VNL7UK1XGVME9UYDCS8TIAH3F1TFR	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3WLEIWSYHPTC86RRPNWCVGD4JH1H2L	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
326O153BMJANR6Y5WB8N6W7VOSYEDB	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
39O5D9O87U4ACGCU7VWG3ZLGC3WC3I	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
3RGU30DZTBKY6GQAN5IHM27H2EMJMJ	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
392CY0QWG23M7FHYZJXLO7BH38CI4B	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
37UEWGM5HUKI8FNY2O8S4155EKLR1B	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
37Q970SNZFKU9UNBHD8XUBA10M4S10	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
388U7OUMF8DI1Q2G654SQWMV9SG0RI	"Dear worker, I'm sorry for rejecting your HITs but you provided completely random answers and your average submission time was only 11 seconds/HIT which is not even sufficient to read the given texts."
