" "	competence	feedbacks	firstAssignment	firstHIT	hits	nonReasonCouns	timeAvg	timeMax	timeMin	timeStdev
A03922113RU44GENR8ATX	0.424		3LPW2N6LKUE9CPGY7559C256X145UP	3D1TUISJWICI2TEKONJ1DRDRNWYUI7	55	0	373	854	78	236
A10235852JIND69H439ET	0.422		3P529IW9KZXYVWMT43QH7R0092FLFG	3JYPJ2TAYIKL0X4Y6TEM0OD0ZNEFP5	11	0	157	191	112	24
A104V8NZIQFN2F	0.593	I wasn't sure ow to answer the Artificial Intelligence question because there was no definition for the author's stance.	3QECW5O0KIDUCC1970FZ76J4ELD5TA	391FPZIE4CYI6Y30I51GDFCCNJJUHE	158	0	190	765	39	111
A10S5LDYYYB496	0.406		3C2NJ6JBKBT4I2D2SLRP00A05WBN27	3LN50BUKPVN70PEUS4HKV1IKWJ0PLK	29	0	144	473	72	79
A10VZBZZUJB632	0.743		33FBRBDW6PBWDDI0JCRCUGTRSPT8CB	37SOB9Z0SS90T097U6KDIYFJRN8L34	3	0	284	339	248	48
A11FLE4CSP7MUH	0.000		32UTUBMZ7H8BEKM7D56RBA7HL26VB8	3C8QQOM6JPDFJ3RQF9R0M4H8A55LI4	1	0	58	58	58	0
A11JKNR1BJ5JUK	0.395		3O6CYIULEED3P8VI36SI22IJHZLWUC	3UDTAB6HH6B9B691MMZ4BRQHOH8901	1	0	33	33	33	0
A11K5HVS2IU9RR	0.281		3B1NLC6UG08U0HXM7FP66T9WFRGGP8	3B286OTISETUIVKS00NAPRGXT8VAJN	4	0	319	473	179	149
A11SE1OE1O9GN8	0.359		3LWJHTCVCDY9MT26W8YDODZUJ8IFQF	3BJKPTD2QCOGVF2EE5N0MNSGREARTH	43	0	98	408	52	64
A12BSTDKPP6DHL	0.201		3WQ3B2KGE9SVS8696RM24M01W0I1BC	338GLSUI43NIDPKQYAIGVTIBM7LSFY	3	0	180	261	69	99
A12INZHE24YJQ8	0.461		3PJUZCGDJ7SUFFBX7SHLSQSJM7198C	3H5TOKO3D9V3SBP47GJU3KPSFSG643	6	0	257	504	101	147
A12R2U6TBB3OOG	0.363		3F6HPJW4JECU5WMGKMICWJNRY5DW2Z	308KJXFUJRIOWYGXCU1ERX36RAMATS	2	0	196	283	108	124
A136CFKCX73QST	0.200		3ZSY5X72NYN347UZ8Q63GXID7Y7ROG	3O2Y2UIUCQ6KP67IT19E47R15D8FK4	7	0	90	168	22	48
A13LXDXAWD5DSY	0.297		3WS1NTTKEZOLY0X7FA4Y978C67RF0U	3GVPRXWRPH6G4I2OBFQQ3ZZ7FL0I7S	11	0	154	411	59	117
A13WZ8S1VLBSNG	0.367		33TIN5LC05M9UL2FKWFFR3GLFNZY9C	34XASH8KLQYR67WFSGIZVEX9WOQPMM	59	0	192	677	55	103
A14LWEUYF94JR2	0.000		3HYA4D452SVSUA0LUX8CSV1R36F2F7	3LB1BGHFL28PSGE0S0FUUJLDU1PYTQ	1	0	229	229	229	0
A15V8K8M4TXT9Y	0.501		3IOEN3P9S8VPMWPEA05UT6E9IXC16S	3RKHNXPHGW898O48OQ4DQ7S4F0NKU8	11	0	165	251	82	45
A1689SP9SJBJDA	0.820		31N2WW6R9S2HFSW4YXMHB56J9JP3FR	341H3G5YF0QOHXREQKT3OFSA3KX0Z8	1	0	288	288	288	0
A16KKZDFNKITOS	0.495		3KAKFY4PGVE1PJYUZ5S2E2JBP8F3IA	3GMLHYZ0LE94STTPS554ZF7FDFWUYD	2	0	443	499	387	79
A16OR3ORFS0GOZ	0.248		37C0GNLMHGFJER5QQTPPU8FI7WI6DU	3CVDZS288HCFFU7LEDMUJKJ5UI3FM9	4	0	188	222	125	43
A17AF9I56P3RVV	0.236		3GD6L00D3T9RBZA6XGCBI2BV81RM1V	3F6045TU7D0R70XEMIIX42RARL299D	1	0	205	205	205	0
A17G3ZF02QM7Q7	0.239		3NC5L260MPY61HPQHV69Z84U478OFO	3EKZL9T8Y8YMK4M0WEGGJ9Q6GJCCHM	41	0	183	255	95	39
A17J1CE7N49Z9D	0.001		39LNWE0K4V8LODBDEPO31B9B2LXUI7	3SCKNODZ0XS8IJDF8V3I87VO1KUN7D	1	0	139	139	139	0
A183UYYC2MKJMJ	0.615		3LOTDFNYA8BE6QYS8HXJG2HG79IWFJ	3SCKNODZ0XS8IJDF8V3I87VO1KUN7D	1	0	259	259	259	0
A1879O6JNJ6ZIY	0.322		345LHZDEDY46YATUTMHGX57MJ4ZU38	3IHWR4LC7DPK4W77LKIWHZV2Q56I8F	13	0	164	342	104	57
A197KLY88OBJ89	0.248		3UXUOQ9OKF94KKGJPT3FAL78H6J7AA	3KQC8JMJGC4Y74QH3L5FQ6MCA603HG	3	0	240	357	168	102
A19A9CP9QHPBYA	0.495		3L0KT67Y8FSRZ0YET2F68YLB7BHYSG	37SDSEDIN9E94QB9DDXQP0EG93W187	2	0	313	355	271	59
