'Starchitects' are not ruining cities	12412641_198	A small city with architectural treasures can become an international destination for architecture aficionados.
'Starchitects' are not ruining cities	12412641_322	Work from the Architects Collaborative and sculptors, which includes many well-known names, have enhanced large cities.
'Starchitects' are not ruining cities	12418818_0	Starchitects adhere to a more rigorous set of industry standards than do local architects.
'Starchitects' are not ruining cities	12418818_389	If you don't judge by personal taste, New York has amazing architecture.
3-D printing will change the world	12535548_0	Most consumers will have various sizes of 3-D printers.
3-D printing will change the world	12536410_1025	3D printing has the power to change all industries.
3-D printing will change the world	12536410_143	Economic growth needs innovation.
3-D printing will change the world	12536410_355	3D printing allows for many innovations.
3-D printing will change the world	12536410_694	3D printing allows for low cost rapid prototypes and does not require high volumes as traditional manufacturing does.
3-D printing will change the world	12538747_447	3D printing technology will evolve and grow, just like cell phones have.
3-D printing will not change the world	12534617_179	3-d printing is slow and inflexible with materials used.
3-D printing will not change the world	12534617_60	3-D printing cannot use many of the raw materials presently used in manufacturing.
3-D printing will not change the world	12538582_0	High tech devices only cause frustration.
3-D printing will not change the world	12538804_183	Many in lesser developed areas have no access to computers, so the availability of 3D manufactured devices would depend on the provider. Bureaucracies are unlikely to willingly give up their jobs.
Abolish Birthright Citizenship	15875797_270	If a person leaves the US they get the benefits of citizenship with out contributing to the US.
Abolish Birthright Citizenship	15875797_378	It is now just a symbol of class for people to come and have children that are citizens by birth to have the right passport.
Abolish Birthright Citizenship	15875797_76	People are abusing the system to create American citizenship for their families.
Abolish Birthright Citizenship	15881775_19	Babies born here should take the nationality of the parents.
Abolish Birthright Citizenship	15882595_467	War refugees should be the only exception to this principle.
Abolish Birthright Citizenship	15882595_533	Those that come to the US solely to have citizenship conferred on their children are abusing the system.
Abolish Birthright Citizenship	15885882_232	Citizenship should be earned by people through their investment in the culture and economy.
Abolish Birthright Citizenship	15885882_649	Birthright citizenship is too easy to take advantage of.
Abolish Birthright Citizenship	15893089_211	The Birthright Citizenship law was intended for free slaves, but is not applicable to today's issues.
Abolish Birthright Citizenship	15893089_75	The 14th amendment was rushed into the constitution.
Activists cannot be politicians	17502873_0	Activists have been infiltrating school boards and preventing those who can actually run a school from being able to serve on the boards.
Activists cannot be politicians	17502873_285	When activists try to be politicians it is clear they are only pursuing their own narrow objectives and visions, just to stroke their own ego.
Affirmative actions should be based on income	11666716_0	Socioecomonics should play a higher role in college admissions instead of race.
Affirmative actions should be based on income	11670543_405	Income makes a better way to judge affirmative action.
Affirmative actions should be based on income	11670926_107	If race is such a big part of the economic hardships and the reasons people are denied opportunities, then economic based actions would be a better solution.
Affirmative actions should not be based on income	11666969_339	Income and affirmative action are not related to each other and should not be considered together.
Affirmative actions should not be based on income	11667948_0	High performers should be rewarded over all others.
All immigrants should get ID cards	11160920_0	All towns should give all residents, citizens or not, free ID cards.
All immigrants should get ID cards	11160920_233	It would give dignity to both immigrants and democracy.
All immigrants should get ID cards	11163128_8	ID cards will be helpful in deportations.
All immigrants should get ID cards	11163402_167	Legal identification would help police identify people.
All immigrants should get ID cards	11163402_303	Giving all immigrants ID cards would allow police to get information about people from their home country.
All immigrants should get ID cards	11163402_404	Undocumented people would no longer remain anonymous to the government.
All immigrants should get ID cards	11179191_0	ID cards help all people to be treated like equal humans.
All immigrants should get ID cards	11179191_628	Millions of people will get authorized to work or will return home to improve their lives with work.
All immigrants should not get ID cards	11160924_68	The ID would serve no purpose if they were here illegally.
All immigrants should not get ID cards	11163651_240	Immigrant ID cards would result in acts of disobedience.
All immigrants should not get ID cards	11163651_56	After crossing our border unlawfully they do not deserve an ID card as this is approval of being in our country
Amazon will kill off publishers	4757953_616	Physical books are too expensive.
Amazon will kill off publishers	4759333_109	Amazon allows more leeway and money to the writers.
Amazon will kill off publishers	5061566_95	The Kindle requires you to buy ebooks only from Amazon, instead of other sources.
Amazon will not kill off publishers	4757099_321	One cannot assume Amazon will dominate the publishing industry.
America's fears are legitimate	16962419_340	Americans have a  right to be afraid 8000 were killed by their own last year and 2000 died yesterday.
America's fears are not legitimate	16964122_41	There is no rational justification in the fear or statistics.
Apps cannot be used to treat depression and anxiety	16157609_550	People need other people more than they think.
Beachfront homes should have to open their land to the public	12099899_0	Lakes are public and should be accessible.
Beachfront homes should have to open their land to the public	12100570_124	If a hurricane destroys their beach house, they are compensated with aid, so allowing people to walk on the beach is a fair trade off.
Beachfront homes should have to open their land to the public	12103852_521	Beaches should be public land.
