" ",A10S5LDYYYB496,A1FGKIKJYSL1MI,A1LLT1N2U68K50,A1OYYWJ2B7OQTD,A1SVJRX4L97NMC,A1X9N8X97XUAYK,A21EHZ39CBILE,A2B1YSMEHN1G2K,A2GXPU7NQ4A8ZY,A2QGTGDZM7Q7RL,A2ZJOFTSMRNV9I,A35T0N6XN4KLEM,A3BL2ZEODD79AZ,A3CF8ULBSE8MTL,A3GXL3FJ42JPS8,A3TQKAOIJSPPRB,A3UDQWDFLCD7AV,A3V2MCIYI0PP1C,A8GWYS9O8FUEK,A9EQ4FWCUQVBL,AJE0K0QN4T6F0,AQ659QYKHBBDI,AUBATPCNW35B9,AWJ3J10LYEFE
12014246_00,-,O,O,O,-,-,-,O,-,O,-,-,-,O,Premise-B,-,O,-,-,-,-,-,O,-
12014246_01,-,Premise-B,Premise-B,Premise-B,-,-,-,O,-,O,-,-,-,O,Premise-I,-,O,-,-,-,-,-,O,-
12014246_02,-,Premise-I,Premise-I,Premise-I,-,-,-,O,-,O,-,-,-,O,Premise-I,-,O,-,-,-,-,-,O,-
12014246_03,-,Premise-I,Premise-I,Premise-B,-,-,-,O,-,O,-,-,-,O,O,-,O,-,-,-,-,-,O,-
12014246_04,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,-,O,-,-,-,-,-,O,-
12014246_05,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,O,O,-,O,-,-,-,-,-,Premise-B,-
12014246_06,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,Premise-B,O,-,O,-,-,-,-,-,Premise-I,-
12014246_07,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,Premise-I,O,-,O,-,-,-,-,-,Premise-I,-
12014246_08,-,Premise-I,O,Premise-I,-,-,-,O,-,O,-,-,-,Premise-I,O,-,O,-,-,-,-,-,Premise-I,-
12014246_09,-,Premise-I,O,Premise-I,-,-,-,Premise-B,-,Premise-B,-,-,-,Premise-I,O,-,Premise-B,-,-,-,-,-,Premise-B,-
12014246_10,-,Premise-I,O,Premise-I,-,-,-,Premise-I,-,Premise-I,-,-,-,O,O,-,Premise-I,-,-,-,-,-,Premise-I,-
12014246_11,-,Premise-I,O,Premise-I,-,-,-,Premise-I,-,Premise-I,-,-,-,O,O,-,Premise-I,-,-,-,-,-,Premise-I,-
12014246_12,-,Premise-I,O,Premise-I,-,-,-,Premise-I,-,Premise-I,-,-,-,O,O,-,Premise-I,-,-,-,-,-,Premise-I,-
12014246_13,-,Premise-I,O,Premise-I,-,-,-,Premise-I,-,Premise-I,-,-,-,O,O,-,O,-,-,-,-,-,Premise-I,-
12014246_14,-,Premise-I,O,Premise-I,-,-,-,Premise-I,-,O,-,-,-,O,O,-,O,-,-,-,-,-,Premise-I,-
12014246_15,-,Premise-I,O,Premise-I,-,-,-,Premise-I,-,O,-,-,-,O,O,-,O,-,-,-,-,-,Premise-I,-
12014246_16,-,O,O,O,-,-,-,O,-,O,-,-,-,O,O,-,O,-,-,-,-,-,O,-
12018473_00,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
12018473_01,-,O,O,O,-,-,-,O,-,-,-,-,-,O,O,O,-,-,O,O,-,-,-,-
