	Are All Bloggers Journalists?	A federal judge in Oregon has ruled that a blogger isn't protected by the state shield laws. What are the implications?	Bloggers are journalists	Bloggers are not journalists	are-all-bloggers-journalists
	Are Americans' Fears Legitimate?	Since the San Bernardino shootings, people seem afraid - guns, crime, terrorism, you name it - some have responded in hateful ways.	America's fears are legitimate	America's fears are not legitimate	are-americans-fears-legitimate
x	Scrubbing Our Troubles Away	Why are Americans obsessed with cleanliness?			are-americans-too-obsessed-with-cleanliness
x	Are Awards Worth the Hype?	Do awards dictate too often what we decide to view, listen to or read? Or do they lose their power and appeal once the hype wears down?			are-awards-worth-the-hype
	Are Banks Making Too Much Money From Fees?	Do the fees banks charge customers need to be more closely regulated, or are they necessary for the health of the banks, and the economy?	Fees should be more regulated	Fees are necessary	are-banks-making-too-much-money-from-fees
	Are Big Banks Out of Control?	Does the lack of legal compliance that have cost banks billions in fines show that some have gotten too big to manage properly?	Big banks are out of control	Big banks are not out of control	are-big-banks-out-of-control
	Are Casinos Too Much of a Gamble?	Do the economic and fiscal benefits of casinos outweigh their social and economic costs?	Casinos are too much of a gamble	Casinos are not too much of a gamble	are-casinos-too-much-of-a-gamble
	Keeping Only the Best Behaved	Are charter schools, with their high rates of suspension and expulsion, cherry-picking students?	Charter schools are cherry-picking students	Charter schools are not cherry-picking students	are-charter-schools-cherry-picking-students
x	Lofty Salaries in the Ivory Towers	Are university presidents overpaid, or does the compensation appropriately reflect their wide range of management, recruitment and fund-raising duties?			are-college-presidents-overpaid
x	Are Conspiracy Theories All Bad?	What role does skepticism and suspicion of power play in society?			are-conspiracy-theories-all-bad-17
	Are Court Stenographers Necessary?	After a New York court reporter left behind an incomplete record, some are asking whether it still makes sense to use stenographers in legal proceedings.	Court stenographers are necessary	Court stenographers are not necessary	are-court-stenographers-necessary
	Bring Back Cubicles?	Should the open office layout be reconsidered?	Open office layout should be reconsidered	Open office layout should not be reconsidered	are-cubicles-preferable-to-the-open-office-layout
	Is That a Movie or Video Game?	Is computer-generated imagery, or C.G.I., ruining the magic of cinema or enhancing it?	Computer-generated imagery is ruining cinema	Computer-generated imagery is enhancing cinema	are-digital-effects-cgi-ruining-the-movies
	Are Economists Overrated?	Do economists have too much authority, given their mixed record at forecasting and planning?	Economists are overrated	Economists are not overrated	are-economists-overrated
	Are Family Vacations Worth It?	Should parents soldier forth and try to create those irreplaceable family memories? Or take a real break by zipping off without the kids?	Parents should make vacation with kids	Parents should make vacation without kids	are-family-vacations-worth-it
x	Are 'Family Values' Outdated?	Is the Republican ideal of family just a rhetorical device, or is it still a worthy goal for public policy?			are-family-values-outdated
x	A Fight Over Fish	Is the F.D.A.'s approval of genetically altered salmon dangerous or a sign of scientific progress?			are-genetically-engineered-salmon-too-fishy
x	Sis Boom Bah Global U. Rah, Rah, Rah	Are global universities hurting or helping American higher education?			are-global-universities-good-for-us-colleges
	Are Kurds Allies or Obstacles in Syria?	How can Turkish-Kurdish hostilities be kept from driving the fight against ISIS off track, with the Kurds -- in de facto alliance with Russia?	Kurds are allies in SyriaAllies	Kurds are obstacles in Syria	are-kurds-allies-or-obstacles-in-syria
	Are Medical Websites Healthful?	Does the internet add to patients' knowledge, or dangerously misinform them?	Medical websites are healthful	Medical websites are dangerous	are-medical-websites-like-webmd-healthful
	Are Modern Men Manly Enough?	Are men spending too much time at the spa and the gym in lieu of grittier, manlier pursuits? And if so, is this making them less masculine?	Modern men are manly enough	Modern men are not manly enough	are-modern-men-manly-enough
x	Step Aside; Double-Wide Stroller Coming Through	Are modern parents being rude when they impose on other people on sidewalks, planes and bar stools? Or just doing what's best for their children?			are-modern-parents-self-absorbed
x	Segregation by Ability	Should public schools track students into gifted education programs?			are-new-york-citys-gifted-classrooms-useful-or-harmful
	Are New York's Bike Lanes Working?	Mayor Koch's bicycle network died quickly. Mayor Bloomberg's is remaking the streets of the city. What is the verdict so far?	New York's bike lanes are working	New York's bike lanes are not working	are-new-yorks-bike-lanes-working
	Are People Getting Dumber?	Sometimes when you turn on the TV, it's hard not to wonder: Is humanity devolving?	People are getting dumber	People are not getting dumber	are-people-getting-dumber
	Do Police Use Deadly Force Too Often?	Have police officers become too willing to use force or are they reacting to the dangers they face every day?	Police is too willing to use force	Police is reacting to dangers	are-police-too-quick-to-use-force
x	Blood and Politics	Are dynasties bad for American democracy, or simply inevitable? How do they affect political power?			are-political-dynasties-dangerous
	Are Public Universities Neglecting In-State Students?	State schools are accepting more and more nonresidents to bridge budget gaps.	Public universities are neglecting in-state students	Public universities are not neglecting in-state students	are-public-universities-neglecting-in-state-students
	Are Reality Shows Worse Than Other TV?	Is a bad reality show worse than a bad sit-com? Is a compelling one less important than a compelling scripted drama?	Reality shows are worse than other TV	Reality shows are not worse than other TV	are-reality-shows-worse-than-other-tv
	Are Research Papers a Waste of Time?	Has the Internet made research papers a useless exercise for college students? Is there a better way to assess knowledge?	Research papers are a useless exercise for college students	Research papers are a useful exercise for college students	are-research-papers-a-waste-of-time
	Are Rich Politicians Less Corruptible?	"People often talk about ""out of touch"" billionaires running for office, but could they be less susceptible to bribes?"	Rich politicans are less corruptible	Rich politicans are not less corruptible	are-rich-politicians-less-corruptible
	Are Same-Sex Colleges Still Relevant?	Do same-sex colleges play an important role in education, or are they outdated?	Same-sex colleges are still relevant	Same-sex colleges are outdated	are-same-sex-colleges-still-relevant
	Are School Librarians Expendable?	States and cities are under severe budget constraints. They are turning to the library.	School librarians are expendable	School librarians are not expendable	are-school-librarians-expendable
x	Is Facebook a Fad? Will Our Grandchildren Tweet?	Social media are often seen as part of a long-term shift in how people interact, like the telephone. But Facebook's troubled I.P.O. and other growing pains might make you wonder.			are-social-networks-just-a-fad-6
	Are Teachers Overpaid?	Should public schools raise pay to attract more of the top applicants who tend to go into higher-paying professions?	Pay for teachers should be raised	Pay for teachers should remain unchanged	are-teachers-overpaid
	Are the Olympics More Trouble Than They're Worth?	London and Rio de Janeiro saw the Games as an opportunity. But will the cities change for the better, and at what cost?	Olympics are more trouble	Olympics are more worth	are-the-olympics-more-trouble-than-theyre-worth
	Are 'Starchitects' Ruining Cities?	Are superstar architects, who often work in cities they know little about, creating buildings that don't mesh well with the surroundings?	'Starchitects' are ruining cities	'Starchitects' are not ruining cities	are-the-star-architects-ruining-cities-9
x	Are There Jobs That Can't Be Outsourced?	As more companies scale back, what skills should American workers look to develop that will have staying power?			are-there-jobs-that-cant-be-outsourced
x	Are There Too Many G.O.P. Candidates?	Is such a large pool of Republicans entering the race for president good or bad for establishing a record?			are-there-too-many-gop-candidates
	Are Trans-Atlantic Slave Trade Reparations Due?	Should former colonial powers pay reparations for the Atlantic slave trade?	Former colonial powers should pay reparations	Former colonial powers should not pay reparations	are-transatlantic-slave-trade-reparations-due
x	The Democrats and the Union Label	What does voter anger at pension payouts and government spending mean for candidates who rely on the support of public employees?			are-unions-helping-or-hurting-the-democrats
x	Nobody Behind the Wheel	Will we be ready for driverless cars by 2020, or are the perceived safety risks of vehicle automation too high to allow a large-scale rollout?			are-we-ready-for-driverless-cars
x	Are We Ready for the Next Recession?	Job growth and safe banks haven't quieted concerns about economic trouble.			are-we-ready-for-the-next-recession
x	Britannica: Define Outdated	When Encyclopaedia Britannica forgoes its print edition, will a sense of wonder be lost?			britannica-define-outdated
x	Can a Meme Be a Hate Symbol?	The Anti-Defamation League has added a once innocuous frog meme to its list of hate symbols.			can-a-meme-be-a-hate-symbol-6
	Can a Royal Couple Be a Modern Family?	The barriers that stand in the way of Prince William and Kate Middleton leading 'normal' lives as husband and wife.	Royal Couple could be a modern family	Royal Couple could not be a modern family	can-a-royal-couple-be-a-modern-family
	Can a Supreme Court Justice Denounce a Candidate?	Is it ever appropriate or ethical for a justice to announce his or her preference in a presidential election?	Yes, it can denounce	No, it can't denounce	can-a-supreme-court-justice-denounce-a-candidate
	Can Activists Be Politicians?	In running for mayor of Baltimore, DeRay Mckesson is one of a group of activists nationwide hoping to turn their activism into political power.	Activists can be politicians	Activists cannot be politicians	can-activists-be-politicians
